Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
PJ211-2023,2023,TOPOGRAFIA DA SEDE MUNICIPAL DO MUNICÍPIO DE DOM VICOSO,PAULO CESAR GONCALVES,IRN,11/09/2023,29/12/2023,NÃO,R$ 50.000,0,
PJ212-2023,2023,"FILMAGEM PARA DOCUMENTÁRIO ""HAIR HEALTH EXPOSURE"" DO PROGRAMA NATURE OF THINGS - CBC/RADIO-CANADA",MARCELO DE PAULA CORREA,IRN,01/09/2023,03/09/2023,SIM,,,
PJ213-2023,2023,INTERVINDO PARA INCLUIR: ALFABETIZACÃO DIGITAL NA EDUCACÃO DE JOVENS E ADULTOS,LEANDRO LOPES TRINDADE,IEPG,15/09/2023,24/11/2023,SIM,,,
PJ214-2023,2023,ESTUDO TARIFÁRIO PARA MUNICIPALIZACÃO DO TRANSPORTE PÚBLICO URBANO DE ELÓI MENDES,ROBERTO ALVES DE ALMEIDA ,IRN,13/09/2023,29/12/2023,NÃO,R$ 30.000,0,
CR059-2023,2023,CAPACITACÃO EM SEGURANCA DO TRABALHO: APRESENTACÃO DE FERRAMENTAS DE GESTÃO DE RISCOS E APLICACÃO PRÁTICA,ELAINE CRISTINA REIS SILVA,DCI,04/10/2023,04/10/2023,SIM,,,
CR060-2023,2023,TELAS E O ESPECTRO AUTISTA: PERSPECTIVAS E CONSEQUÊNCIAS,GUILHERME SOUSA BASTOS,IESTI,24/10/2023,24/10/2023,SIM,,,
CR061-2023,2023,FROM ZERO TO HERO: DESPERTANDO O SEU LADO EMPREENDEDOR,LILIAN BARROS PEREIRA CAMPOS,ICPA,01/10/2023,31/10/2023,SIM,,,
EV083-2023,2023,CAFÉ & PROSA CONSULTING,FABIO FAVARETTO,IEPG,26/09/2023,16/10/2023,SIM,,,
EV084-2023,2023,ENGENHARIA E ÉTICA: NAVEGANDO PELO CREA, CONFEA E MÚTUA,SAMARA CALCADO DE AZEVEDO,IRN,19/09/2023,27/09/2023,SIM,,
EV085-2023,2023,CIDADANIA E TRÂNSITO: ATITUDES QUE SALVAM VIDAS,DALVA MARIA DE CASTRO,IEI,21/09/2023,21/09/2023,SIM,,,
EV086-2023,2023,IV SEMINÁRIO REGIONAL SOBRE METODOLOGIAS ATIVAS NO ENSINO SUPERIOR (IV SERMAES) E III ENCONTRO INTERNACIONAL SOBRE METODOLOGIAS ATIVAS (III EIMA),LILIAN BARROS PEREIRA CAMPOS,ICPA,25/09/2023,31/12/2023,NÃO,,,
EV087-2023,2023,"""COMPOSTEIRA COMUNITÁRIA"" NAS ESCOLAS PÚBLICAS DE ITABIRA-MG: ACÕES DE SENSIBILIZACÃO E EDUCACÃO AMBIENTAL",GABRIELA DA FONSECA DE AMORIM,ICPA,29/09/2023,20/12/2023,NÃO,,,
EV088-2023,2023,VACALANGADA 2023 - JOGOS UNIVERSITÁRIOS DA CIDADE DE ITABIRA,DIOGO LEONARDO FERREIRA DA SILVA,,28/09/2023,06/10/2023,SIM,,,
EV089-2023,2023,PALESTRA: LINGUAGEM DE CAMACO - AQUILOMBAMENTO LINGUÍSTICO,GEUDERSON TRASPADINI MARCHIORI,IEI,27/09/2023,27/09/2023,SIM,,,
EV090-2023,2023,FESTIVAL ASTRONÔMICO 2023: OBSERVACÃO DOS ECLIPSES SOLAR E LUNAR COM A EQUIPE FALCON-6 ROCKET DESIGN,GABRIELA DA FONSECA DE AMORIM,,28/09/2023,31/10/2023,SIM,,,
EV091-2023,2023,I SIMPÓSIO CIENTÍFICO E TECNOLÓGICO DO PROGRAMA DE PÓS-GRADUACÃO DE ENGENHARIA MECÂNICA – I SITMEC 2023,ANDREAS NASCIMENTO,IEM,26/09/2023,31/10/2023,SIM,,,
EV092-2023,2023,PALESTRA: VAMOS FALAR SOBRE DINHEIRO?,ANDRE LUIZ MEDEIROS,IEPG,30/09/2023,30/09/2023,SIM,,,
EV093-2023,2023,VISITA MEDIADA AO MUSEU DAS MINAS E DO METAL (MM GERDAU) EM BELO HORIZONTE,RENY ANGELA RENZETTI,IEI,18/10/2023,18/10/2023,SIM,R$ 2.138,68,
EV094-2023,2023,VIII CAFÉ AMBIENTAL,GLAUCIO MARCELINO MARQUES,ICPA,17/10/2023,19/10/2023,SIM,,,
EV095-2023,2023,LINGUAGEM DE CAMACO – AQUILOMBAMENTO LINGUÍSTICO,GEUDERSON TRASPADINI MARCHIORI,IEI,16/10/2023,20/12/2023,NÃO,,,
PJ215-2023,2023,PROJETO ÁRVORE DOS SONHOS (2023),SANDRA MIRANDA NEVES,IEPG,21/09/2023,31/12/2023,SIM,,,
PJ216-2023,2023,UNIFEI TALKS,GISELLE DE PAULA QUEIROZ CUNHA,ICPA,21/09/2023,31/12/2023,NÃO,,,
PJ217-2023,2023,UNIFEI INSPIRA,GISELLE DE PAULA QUEIROZ CUNHA,ICPA,21/09/2023,31/12/2023,NÃO,,,
PJ219-2023,2023,CONTRATO DE SERVICO PARA PLANTIMAIS CONSULTORIA EM PLANTABILIDADE LTDA,KLEBER ROBERTO DA SILVA SANTOS,IESTI,25/09/2023,31/12/2023,NÃO,,,
PJ220-2023,2023,ECOREP CHALLENGE: COMPETICÃO SUSTENTÁVEL DE COLETA DE LIXO ENTRE REPÚBLICAS ESTUDANTIS,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,28/09/2023,15/12/2023,NÃO,,,
PJ221-2023,2023,DESENVOLVIMENTO DE UM SISTEMA PARA OBTENCÃO COMBINADA DE HIPOCLORITO DE SÓDIO E HIDROGÊNIO,CARLOS ROBERTO ROCHA,IRN,28/09/2023,15/12/2023,NÃO,R$ 31.500,0,
PJ222-2023,2023,PLANTIO & H2ROCKET TBSD,CARLOS EDUARDO CORREA MOLINA,IEM,02/10/2023,02/12/2023,NÃO,,,
PJ223-2023,2023,PROJETO PARA SISTEMA DE DRENAGEM ÁGUA PLUVIAL ESCOLA PADRE DONATO – ITAJUBÁ/MG,PAULO CESAR GONCALVES,IRN,09/10/2023,24/11/2023,SIM,,,
PJ224-2023,2023,SOCIEDADE E MEIO AMBIENTE: AGROQUÍMICOS,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,29/09/2023,15/12/2023,NÃO,,,
PJ225-2023,2023,UMA ABORDAGEM DE GESTÃO DE RESÍDUOS SÓLIDOS NO ENSINO FUNDAMENTAL,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,28/09/2023,15/12/2023,NÃO,,,
PJ226-2023,2023,VISITA TÉCNICA À FÁBRICA DE CIMENTO PORTLAND CSN LOCALIZADA NA CIDADE DE PEDRO LEOPOLDO (MG),CARLOS AUGUSTO DE SOUZA OLIVEIRA,IEI,02/10/2023,31/10/2023,SIM,R$ 2.041,8,
PJ227-2023,2023,REESTILIZACÃO DA PÁGINA BUGANVÍLIA,PHYLLIPE DE SOUZA LIMA FRANCISCO,,28/09/2023,27/10/2023,SIM,,,
PJ228-2023,2023,UNIFEI INOVA,GISELLE DE PAULA QUEIROZ CUNHA,ICPA,04/10/2023,31/12/2023,NÃO,,,
PJ229-2023,2023,PRESTACÃO DE SERVICO (PARTE 1) PARA UTILIZACÃO DA INFRAESTRUTURA DO LABORATÓRIO DE MOTORES VINCULADO AO CENTRO DE H2 VERDE (CH2V) - ESTUDO DA COMBUSTÃO DO HVO COM H2 VERDE EM MCI A IGNICÃO POR COMPRESSÃO,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,20/10/2023,20/12/2023,NÃO,R$ 33.904,28,
EV096-2023,2023,SABADO NERD,FLAVIA DA SILVA CORDEIRO,,04/10/2023,21/10/2023,SIM,,,
EV097-2023,2023,VISITA TÉCNICA AO CCO DA EMPRESA SERRA VERDE TRANSPORTES,DALVA MARIA DE CASTRO,,04/10/2023,21/10/2023,SIM,,,
EV098-2023,2023,ROAD SHOW SMAR,ROBSON LUIZ MORENO,IESTI,24/10/2023,25/10/2023,SIM,,,
EV099-2023,2023,WORKSHOP - -PETRÓLEO E GÁS NATURAL - PANORAMA ATUAL E PERSPECTIVAS FUTURAS,ROGERIO JOSE DA SILVA,IEM,17/10/2023,17/10/2023,SIM,,,
EV100-2023,2023,1ª FEIRA UNIFEI DO MICROEMPREENDEDOR INDIVIDUAL,TAISA CORREA,PROEX,10/10/2023,29/11/2023,SIM,,,
EV101-2023,2023,ENCONTRO DAS NOVAS ARTES (ENA) 2023,JOSE HAMILTON CHAVES GORGULHO JUNIOR,IEPG,22/10/2023,22/10/2023,SIM,,,
EV102-2023,2023,IV SIMPÓSIO INTERNACIONAL DE EDUCACÃO EM CIÊNCIAS,JANE RAQUEL SILVA DE OLIVEIRA,IFQ,10/10/2023,31/12/2023,SIM,R$ 1.640,0,
CR062-2023,2023,O USO DAS TICS NA PESQUISA ACADÊMICA: ESTRATÉGIAS E FERRAMENTAS PARA EFICIÊNCIA E INOVACÃO,JENIFFER DE NADAE,IEPG,01/11/2023,20/11/2023,SIM,,,
CR063-2023,2023,PSI ACADEMY,THIAGO CLE DE OLIVEIRA,ISEE,16/10/2023,18/12/2023,SIM,,,
PJ230-2023,2023,ATIVIDADE DE EXTENSÃO VINCULADA À DISCIPLINA DE GRADUACÃO IEPG04,FABIANO LEAL,IEPG,09/10/2023,28/11/2023,NÃO,,,
PJ231-2023,2023,PRÁTICA EXTENSIONISTA NO APRENDIZADO CONTEXTUALIZADO DE HISTOLOGIA,ANDREIA ARANTES BORGES,IRN,16/10/2023,24/11/2023,SIM,,,
EV102-2023,2023,IV SIMPÓSIO INTERNACIONAL DE EDUCACÃO EM CIÊNCIAS,JANE RAQUEL SILVA DE OLIVEIRA,IFQ,10/10/2023,31/12/2023,NÃO,R$ 1.640,0,
EV103-2023,2023,CIRCUITO CIENTÍFICO E TECNOLÓGICO,FLAVIA DA SILVA CORDEIRO,ICPA,17/10/2023,31/10/2023,SIM,,,
EV104-2023,2023,JOURNEY - JORNADAS EMPREENDEDORAS,ANDREA APARECIDA DA COSTA MINEIRO,IEPG,18/10/2023,24/10/2023,SIM,,,
EV105-2023,2023,VIRADINHA CULTURAL,FLAVIA DA SILVA CORDEIRO,ICPA,16/10/2023,31/10/2023,SIM,,,
EV106-2023,2023,ACÃO SOCIAL NO DIA DAS CRIANCAS,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,,27/10/2023,10/11/2023,SIM,,,
EV107-2023,2023,SEMANA DO SERVIDOR,FLAVIA DA SILVA CORDEIRO,PROEX,16/10/2023,31/10/2023,SIM,,,
EV108-2023,2023,III SEMINÁRIO DE ASSUNTOS ESTUDANTIS DA UNIFEI,JOAO RICARDO NEVES DA SILVA,IFQ,13/11/2023,13/11/2023,NÃO,,,
EV109-2023,2023,WORKSHOP CITINOVA ITABIRA INTEGRA,GISELLE DE PAULA QUEIROZ CUNHA,ICPA,07/11/2023,07/11/2023,NÃO,,,
EV110-2023,2023,COLABORATÓRIO: ENCONTRO DE PESQUISADORES CRISTÃOS,HISAIAS DE SOUZA ALMEIDA,,07/11/2023,07/11/2023,NÃO,,,
CR064-2023,2023,MINICURSO LATEX,EGON LUIZ MULLER JUNIOR,IESTI,30/10/2023,17/11/2023,SIM,,,
CR065-2023,2023,MINICURSO PYTHON,EGON LUIZ MULLER JUNIOR,IESTI,30/10/2023,17/11/2023,SIM,,,
CR066-2023,2023,ELETRÔNICA DE POTÊNCIA APLICADA A SISTEMAS ELÉTRICOS,RONDINELI RODRIGUES PEREIRA,IESTI,16/10/2023,31/12/2023,SIM,R$ 7.578,0,
CR067-2023,2023,CURSO DE REACT NATIVE,EGON LUIZ MULLER JUNIOR,IESTI,30/10/2023,17/11/2023,SIM,,,
CR068-2023,2023,INTRODUCÃO AO PHP (TURMA 01),OTAVIO DE SOUZA MARTINS GOMES,IESTI,25/10/2023,29/12/2023,NÃO,,,
CR069-2023,2023,INTRODUCÃO AO PHP (TURMA 02),OTAVIO DE SOUZA MARTINS GOMES,IESTI,25/10/2023,29/12/2023,NÃO,,,
CR070-2023,2023,INTRODUCÃO AO PYTHON (TURMA 01),OTAVIO DE SOUZA MARTINS GOMES,IESTI,25/10/2023,29/12/2023,NÃO,,,
CR071-2023,2023,INTRODUCÃO AO PYTHON (TURMA 02),OTAVIO DE SOUZA MARTINS GOMES,IESTI,25/10/2023,29/12/2023,NÃO,,,
CR072-2023,2023,TREINAMENTO DE PRIMEIROS SOCORROS,DENISE RANSOLIN SORANSO,IEPG,06/11/2023,09/11/2023,SIM,,,
CR073-2023,2023,MONTAGEM E CONFIGURACÃO DE UMA ESTACÃO METEOROLÓGICA AUTOMÁTICA,FABRINA BOLZAN MARTINS,IRN,01/11/2023,01/11/2023,SIM,,,
PJ232-2023,2023,HANDS-ON: DESENVOLVIMENTO DE APLICATIVOS REAIS,EDMILSON MARMO MOREIRA,IESTI,13/10/2023,31/12/2023,SIM,,,
PJ233-2023,2023,DESAFIO PROJETO SEMESTRAL: MAHLE - REDUCÃO DE REFUGO NA MINIFÁBRICA DE PRODUTOS DE ACO (2023/2),DENISE RANSOLIN SORANSO,IEPG,06/10/2023,15/12/2023,SIM,,,
PJ234-2023,2023,ATOMIC PLANNER,PHYLLIPE DE SOUZA LIMA FRANCISCO,IMC,21/10/2023,31/12/2023,NÃO,,,
PJ235-2023,2023,H2ROCKET EMPREENDER 2023,CARLOS EDUARDO CORREA MOLINA,IEM,20/10/2023,30/11/2023,NÃO,,,
PJ236-2023,2023,PALESTRAS SOBRE O PLANO DE EDUCACÃO AMBIENTAL (PEA) DA ÁREA DE PROTECÃO AMBIENTAL SÃO FRANCISCO XAVIER (APASFX),DANIELA ROCHA TEIXEIRA RIONDET COSTA,,25/10/2023,10/12/2023,NÃO,,,
PJ237-2023,2023,H2ROCKET SUCESSO 2023,CARLOS EDUARDO CORREA MOLINA,IEM,20/10/2023,30/11/2023,NÃO,,,
