Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
PJ250-2023,2023,PROJETO DE EXTENSÃO DE MUNICIPALIZACÃO DO TRANSPORTE PÚBLICO DO MUNÍCIPIO DE ELÓI MENDES À SER EXECUTADO CONFORME A RESOLUCÃO CEPEAD N°166/2020,ROBERTO ALVES DE ALMEIDA,IRN,01/11/2023,31/12/2023,NÃO,R$ 18.068,15,
PJ251-2023,2023,UNIFEI JR - PESQUISA DE OPINIAO,FABIO FAVARETTO,IEPG,28/11/2023,15/12/2023,SIM,,,
PJ252-2023,2023,UNIFEI JR - PESQUISA DE MARKETIG PARA EMPRESA DE TRANSPORTE POR APLICATIVO,FABIO FAVARETTO,IEPG,28/11/2023,15/12/2023,SIM,,,
PJ253-2023,2023,UNIFEI JR - GESTAO DE CUSTOS DE RESTAURANTE,FABIO FAVARETTO,IEPG,28/11/2023,15/12/2023,SIM,,,
PJ254-2023,2023,UNIFEI JR - DISGNOSTICO DE EMPRESAS DE PRODUCAO MECANICA,FABIO FAVARETTO,IEPG,28/11/2023,15/12/2023,SIM,,,
PG003-2023,2023,LIGA DE MERCADO FINANCEIRO - UNIFEI FINANCE,EDSON DE OLIVEIRA PAMPLONA,IEPG,06/06/2023,31/12/2023,NÃO,,,
PG002-2023,2023,PROJETOS FISICOS-ESPORTIVOS 2023,RAFAEL DE PAIVA PEREIRA THIERS VIEIRA,DSQ,01/06/2023,31/12/2023,NÃO,R$ 128.000,0,
PG001-2023,2023,PROJETOS ESPORTIVOS COMPETITIVOS 2023,RAFAEL DE PAIVA PEREIRA THIERS VIEIRA,DSQ,01/07/2023,31/12/2023,NÃO,R$ 219.150,0,
CR083-2023,2023,MINICURSO SOBRE TECNOLOGIA SLA DE IMPRESSAO 3D,HUGO JOSE RIBEIRO JUNIOR,,07/12/2023,07/12/2023,SIM,,,
EV121-2023,2023,WORKSHOP PROEX #COMPARTILHA 2023 E #PLANEJA 2024,GISELLE DE PAULA QUEIROZ CUNHA,ICPA,30/11/2023,31/12/2023,NÃO,,,
PJ255-2023,2023,PROJETO DE EXTENSÃO DE TOPOGRAFIA DA SEDE MUNICIPAL DO MUNICIPIO DE DOM VICOSO À SER EXECUTADO CONFORME A RESOLUCÃO CEPEAS Nº 166/2020,PAULO CESAR GONCALVES,IRN,29/11/2023,31/12/2023,NÃO,R$ 2.796,61,
PJ256-2023,2023,PROJETO - SITE DUO SABER,PHYLLIPE DE SOUZA LIMA FRANCISCO,IMC,30/11/2023,31/12/2023,NÃO,,,
PJ259-2023,2023,INNOVA DAY LÓREAL,MARCELO DE PAULA CORREA,IRN,07/12/2023,07/12/2023,SIM,R$ 5.500,0,
EV123-2023,2023,VI TRAVESSIA NAS SERRAS DA MANTIQUEIRA: CELEBRANDO PARCERIAS E PENSANDO FUTUROS ENCONTRO PEROBA/TRAVESSIA,VIVIANE GUIMARAES PEREIRA,IEPG,16/12/2023,16/12/2023,SIM,,,
EV122-2023,2023,2ª MOSTRA DE DANCA CORPO A CORPO (UMA DISTROPIA),JOSE HAMILTON CHAVES GORGULHO JUNIOR,IEPG,04/12/2023,10/12/2023,SIM,,,
EV124-2023,2023,AULAO NO YOUTUBE SOBRE MINIFOGUETES COM A EQUIPE FALCON-6 ROCKET DESIGN,GABRIELA DA FONSECA DE AMORIM,IEI,19/12/2023,22/12/2023,NÃO,,,
PJ260-2023,2023,UNIFEI JR PESQUISA MERCADOLOGICA PARA EMPRESA DE NUTRICAO,FABIO FAVARETTO,,11/12/2023,22/12/2023,SIM,,,
PJ261-2023,2023,UNIFEI JR PESQUISA DE MERCADO PARA PET SHOP,FABIO FAVARETTO,,11/12/2023,22/12/2023,SIM,,,
PJ262-2023,2023,DIGNOSTICO EM PROL DOS OBJETICOS DE DESENVOLVIMENTO SUSTENTAVEL,LILIAN BARROS PEREIRA CAMPOS,ICPA,14/12/2023,31/12/2023,NÃO,,,
PJ263-2023,2023,DESFIO PROJETO SEMESTRAL MAHLE : REDUCAO DE REFUGO NA MINIFABRICA DE BRONZINAS,JOSE HENRIQUE DE FREITAS GOMES,,18/12/2023,29/12/2023,NÃO,,,
