Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Relatório Final;Receita (Prevista);Receita (Realizada)
23088.017611/2017-26;2017;Participação em Curso de Curta Duração em Termografia Infravermelha;GUILHERME SOUSA BASTOS;Sim;R$ 77.444,49;R$ 77.444,49
23088.010527/2018-62;2018;AstroWorkshop: Introdução a Ferramentas da Astrofísica para alunos de graduação;HEKTOR STHENOS ALVES MONTEIRO;Sim;R$ 750,00;R$ 600,00
23088.013906/2016-42;2016;CURSO DE HIDRÁULICA BÁSICA;HELCIO FRANCISCO VILLA NOVA;Sim;R$ 4.571,54;R$ 4.571,54
23088.011332/2016-78;2016;DESENVOLVIMENTO DE NOVA METODOLOGIA DE FISCALIZAÇÃO DAS EMPRESAS DISTRIBUIDORAS DE ENERGIA ELÉTRICA COM A UTILIZAÇÃO DE BIG DATA;JAMIL HADDAD;Sim;R$ 108.060,00;R$ 108.060,00
23088.005050/2017-12;2017;Curso de Curta Duração - QPSE - Módulo Ocnfiabilidade dos Sistemas Elétricos;JOÃO GUILHERME DE CARVALHO  COSTA;Sim;R$ 5.600,00;R$ 5.600,00
23499.001427/2016-41;2016;Grupo Vocal Unifei-Itabira;JOÃO LUCAS DA SILVA;Sim;R$ 12.375,00;R$ 2.441,63
23088.015051/2017-75;2017;Participação no curso de curta durtação - QPSE - Qualidade de Energia Elétrica;JOSÉ MARIA DE CARVALHO FILHO;Sim;R$ 12.995,66;R$ 51.865,00
23088.017375/2016-67;2016;Prestação de Consultoria em Qualidade de Energia Elétrica;JOSÉ MARIA DE CARVALHO FILHO;Sim;R$ 32.731,50;R$ 32.731,50
23088.014807/2018-40;2018;Participação no comitê de avaliação dos projetos PIPE-FAPESP;MARCELO DE PAULA CORRÊA;Sim;R$ 555,00;R$ 850,00
23088.023645/2018-31;2018;Palestra sobre efeitos da radiação UV sobre a pela e suas implicações ambientais no evento Scientific Suncare Day;MARCELO DE PAULA CORRÊA;Sim;R$ 4.400,00;R$ 4.400,00
23088.025567/2018-17;2018;Termogeração Centralizada;MARCELO JOSÉ PIRANI;Sim;R$ 19.400,00;R$ 10.126,36
23088.016604/2016-26;2016;Aplicação da metodologia STAMP para o desenvolvimento de sistemas complexis;MARCELO SANTIAGO DE SOUSA;Sim;R$ 3.370,00;R$ 0,00
23088.020856/2016-50;2016;Curso de Qualificação em Sistemas Elétricos - Estabilidade e Dinâmica de Sistemas Elétricos II;MAURICIO CAMPOS PASSARO;Sim;R$ 2.450,00;R$ 2.450,00
23088.020116/2016-13;2016;Participação no Curso Operação, Controle e Monitoramento Ambiental de UTEs;OSVALDO J VENTURI;Sim;R$ 38.500,00;R$ 20.752,14
23088.006462/2017-70;2017;Curso de Curta duração – QPSE – Proteção de Sistemas Elétricos;PAULO MÁRCIO DA SILVEIRA;Sim;R$ 8.795,66;R$ 8.795,66
23088.017730/2016-06;2016;Proteção de sistemas elétricos - Básico;PAULO MÁRCIO DA SILVEIRA;Sim;R$ 25.000,00;R$ 15.550,62
23088.008469/2016-45;2016;Emissão de Parecer técnico p/fundamento Ininterrupto - Decreto 27.048 de 12/08/49 e Portaria 945 de 08/07/15 do Ministerio do Trabalho;RICARDO RISSO CHAVES;Sim;R$ 7.650,00;R$ 7.650,00
23088.012705/2017-17;2017;EMISSÃO DE Parecer Técnico sobre questões de prova para fins jurídicos, por solicitação de Pessoa física;RICARDO RISSO CHAVES;Sim;R$ 2.000,00;R$ 2.000,00
23088.019788/2018-48;2018;Emissão de Parecer Técnico para funcionamento inicterrupto - Decreto 27.048 de 12/08/49;RICARDO RISSO CHAVES;Sim;R$ 9.000,00;R$ 9.000,00
23088.008889/2016-21;2016;Ensaio de Eficiência de Bombas Centrífugas;ROBERTO ALVES DE ALMEIDA;Sim;R$ 140.805,50;R$ 140.805,50
23088.014498/2016-46;2016;Ensaio de Eficiência de Bombas Centrífugas;ROBERTO ALVES DE ALMEIDA;Sim;R$ 140.000,00;R$ 216.734,50
23088.018492/2017-29;2018;Participação no curso de curta duração - QPSE 20017 - Eletrônica de Potência Aplicada a Sistemas Elétricos;RONDINELI RODRIGUES PEREIRA;Sim;R$ 10.200,00;R$ 10.769,13
23499.001231/2017-38;2018;L.O.T.S Aerodesign;RUBEN ALEXIS MIRANDA CARRILHO;Sim;R$ 9.304,50;R$ 9.304,50
23088.008634/2018-21;2018;Medição da Condutividade Térmica;SANDRO MENTREVELLE MARCONDES DE LIMA E SILVA;Sim;R$ 4.597,70;R$ 4.597,70
23088.004045/2016-10;2016;Tutoria em Robótica Lego;TALES CLEBER PIMENTA;Sim;;R$ 18.200,00
23088.014256/2016-52;2016;Equipe Uai!rrior de Robótica ;TALES CLEBER PIMENTA;Sim;R$ 78.000,00;R$ 28.953,00
23088.001813/2018-37;2018;Equipe Uirá - Projeto Sae Aerodesing;YOHAN ALI DIAZ MENDEZ;Sim;R$ 10.500,00;R$ 10.000,00
23088.020935/2016-61;2016;Curso de Qualificação em Sistemas Elétricos - Estabilidade e Dinâmica de Sistemas Elétricos II;ZULMAR SOARES MACHADO JÚNIOR ;Sim;R$ 2.450,00;R$ 2.450,00
