Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
23088.003328/2016-36;2016;Equipe de Competição Tecnológica Black Bee Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;IMC;25/02/16;25/02/17;Sim;R$ 78.492,54;R$ 78.492,54
23088.004669/2017-18;2017;Projeto de Competição Tecnológica ;ALEXANDRE CARLOS BRANDÃO RAMOS;IMC;26/02/17;26/02/18;Sim;R$ 55.263,16;R$ 10.000,00
23088.006211/2018-76;2018;Projeto de Competição Tecnológica Black Bee Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;IMC;26/03/18;26/03/19;Sim;R$ 50.000,00;R$ 30.202,80
23088.007735/2019-65;2019;Projeto de Competição Tecnológica Black Bee Drone;ALEXANDRE CARLOS BRANDÃO RAMOS;IMC;27/03/19;27/03/20;Não;R$ 45.000,00;
23088.010924/2016-72;2016;Curso de Atualização em Tecnologia de Drones;ALEXANDRE CARLOS BRANDÃO RAMOS;IMC;04/02/17;30/06/17;Sim;R$ 100.000,00;R$ 0,00
23088.004718/2018-95;2018;Seminarios GFIT 2018;ALEXIS ROA AGUIRRE;IFQ;14/03/18;30/11/18;Sim;R$ 0,00;R$ 0,00
23088.006145/2017-53;2017;SEMINÁRIOS GIFT;ALEXIS ROA AGUIRRE;IFQ;15/03/17;08/11/17;Sim;R$ 0,00;
23088.014963/2017-20;2018;Primeiro Simpósio de Fisica Teórica GIFT;ALEXIS ROA AGUIRRE;IFQ;16/11/17;18/11/17;Sim;R$ 13.700,16;R$ 2.370,00
23088.016617/2019-48;2019;Segundo encontro de Física Teórica GIFT;ALEXIS ROA AGUIRRE;IFQ;14/08/19;30/11/19;Não;R$ 8.800,00;
23499.001358/2019-19;2019;Língua Brasileira de Sinais - Intermediário;ANA AMÉLIA DE SOUZA;CGP;27/08/19;26/11/19;Não;R$ 0,00;R$ 0,00
23088.008191/2018-78;2018;Encontro de Formação em Lingua Brasileira de Sinais LIBRAS;ANA CAROLINA SALES OLIVEIRA;IFQ;27/04/18;27/04/18;Sim;R$ 0,00;R$ 0,00
23088.016525/2018-87;2018;Ciclo de Estudos Sobre BNCC: parceria escola-universidade;ANA CAROLINA SALES OLIVEIRA;IFQ;01/08/18;31/08/18;Sim;R$ 0,00;R$ 0,00
23499.001322/2018-54;2018;Conservação e restauração ambiental de territórios na região da Serra do Espinhaço;ANA CAROLINA VASQUES FREITAS;Itabira;01/09/18;01/09/19;Não;R$ 0,00;R$ 0,00
23088.005196/2019-20;2019;Avaliação Ambiental de propriedades rurais localizadas no bairro Pessegueiro/Itajubá/MG e propostas de manejo: ênfase qualidade e qualidade de água;ANA LÚCIA FONSECA;IRN;07/08/19;06/08/20;Não;R$ 10.000,00;
23088.006429/2018-21;2018;Recuperação da área de recarga da nascente do bairro pedrão (Pedralva/MG) utilizada como fonte de abastecimento de água pela comunidade rural;ANA LÚCIA FONSECA;IRN;19/03/18;31/12/18;Sim;R$ 10.000,00;
23088.007824/2017-40;2017;Recuperação da área de recarga as nascente do bairro Pedrão, ulitizada como fonte de abastecimento de água pela comunidade rural;ANA LÚCIA FONSECA;IRN;19/04/17;31/12/17;Sim;R$ 9.400,00;R$ 3.694,35
23088.013257/2019-22;2019;Da captação à distribuição: elucidando questões do sistema de abastecimento de Jesuânia/MG;ANA LÚCIA FONSECA;IRN;30/07/18;08/12/18;Sim;R$ 0,00;R$ 0,00
23088.013268/2019-11;2019;Recuperação da mata ciliar de um trecho do rio Mogi-Guaçu em Inconfidentes/MG;ANA LÚCIA FONSECA;IRN;31/07/18;08/12/18;Sim;R$ 0,00;R$ 0,00
23088.013554/2019-78;2019;Oficina de educação ambiental;ANA LÚCIA FONSECA;IRN;01/08/19;05/12/19;Não;R$ 0,00;R$ 0,00
23088.013717/2019-12;2019;Reciclando e aprendendo;ANA LÚCIA FONSECA;IRN;01/08/19;05/12/19;Não;R$ 0,00;R$ 0,00
23088.015434/2019-13;2019;Projeto Mãos a Horta;ANA LÚCIA FONSECA;IRN;05/08/19;05/12/19;Não;R$ 0,00;R$ 0,00
23088.000776/2016-88;2016;Diagnóstico das nascentes da bacia hidrográfica do Córrego do Vargedo – Santa Rita do Sapucaí /MG;ANA PAULA MONI SILVA;IRN;01/02/16;18/03/16;Sim;R$ 0,00;R$ 0,00
23088.005765/2018-56;2018;ONG Engenheiros da Alegria ;ANA PAULA MONI SILVA;IRN;01/03/18;31/12/18;Sim;R$ 2.457,50;R$ 2.227,69
23088.012656/2019-76;2019;Engenheiros da Alegria - UNIFEI;ANA PAULA MONI SILVA;IRN;22/04/19;31/12/19;Não;R$ 0,00;R$ 0,00
23088.015284/2018-59;2018;Estudos Ambientais relativos e revalidação do licenciamento ambiental do complexo dosdiques e contençã de cheias.;ANA PAULA MONI SILVA;IRN;01/06/18;01/10/18;Não;R$ 43.740,00;
23088.019200/2018-56;2018;Teste de Bombeamento em cisternas na UNIFEI Campus Itajubá;ANA PAULA MONI SILVA;IRN;21/09/18;15/12/18;Não;R$ 0,00;R$ 0,00
23088.020398/2017-30;2017;Elaboração de mapas com as manchas de inundação do municipio de Santa Rita do Sapucaí;ANA PAULA MONI SILVA;IRN;16/10/17;31/12/17;Sim;R$ 0,00;R$ 0,00
23088.020581/2016-54;2016;Engenheiros da Alegria;ANA PAULA MONI SILVA;IRN;01/11/16;01/11/17;Sim;R$ 0,00;R$ 0,00
23088.009475/2017-09;2017;Sistema de Informação Geográfica: práticas e uso;ANA PAULA SILVA FIGUEIREDO;IRN;22/05/17;02/06/17;Sim;R$ 0,00;
23088.015267/2017-31;2017;Capacitação em Ambiente Virtual para EaD;ANA PAULA SILVA FIGUEIREDO;IRN;12/06/17;19/08/17;Sim;R$ 0,00;
23088.005830/2016-81;2016;Curso Usabilidade e Equipamentos Médicos – Documento técnico contendo procedimentos para projeto de equipamento considerando atributos de usabilidade de produtos para a saúde;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;IESTI;12/04/16;13/04/16;Sim;R$ 10.000,00;R$ 10.000,00
23088.013285/2018-69;2018;Terinamento de Usabilidade em equipamentos Médicos - Pelotas;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;IESTI;21/06/18;30/10/18;Sim;R$ 4.180,00;R$ 4.513,80
23088.014335/2017-44;2017;Procedimentos para Teste de Usabilidade;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;IESTI;01/08/17;20/02/18;Sim;R$ 2.500,00;R$ 2.500,00
23088.017234/2018-44;2018;Teste de Usabilidade de produtos para curativos;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;IESTI;01/08/18;31/12/18;Sim;R$ 3.500,00;R$ 3.500,00
23088.024868/2017-34;2017;Teste de usabilidade para equipamento de terapia a laser diodo;ANA PAULA SIQUEIRA SILVA DE ALMEIDA;IEST;13/12/17;20/02/18;Sim;R$ 5.000,00;R$ 0,00
23088.000664/2019-70;2019;Participação no Programa de Pós-Graduação em Biotecnologia (PPGBiotec);ANDRÉ AGUIAR MENDES;IRN;20/01/19;19/01/20;Não;R$ 0,00;R$ 0,00
23088.003994/2016-74;2016;Quanto vale o dinheiro para os jovens? Construção e Consolidação do conhecimento de Educação Financeira em Escolas Públicas de Itajubá/MG;ANDRÉ LUIZ MEDEIROS;IEPG;01/04/16;31/03/17;Sim;R$ 156.438,72;R$ 156.438,72
23088.005228/2018-14;2018;Quanto vale o dinheiro para os Jovens? Construção e Consolidação do conhecimento de educação financeira entre alunos universitários;ANDRÉ LUIZ MEDEIROS;IEPG;19/03/18;31/12/18;Sim;R$ 9.992,00;R$ 9.992,00
23088.005238/2018-41;2018;3ª Semana de educação Financeira para Itajubá e Região;ANDRÉ LUIZ MEDEIROS;IEPG;15/05/18;17/05/18;Não;R$ 0,00;R$ 0,00
23088.006812/2016-17;2016;Semana Nacional de Educação Financeira: Itajubá/MG e Região;ANDRÉ LUIZ MEDEIROS;IEPG;16/05/16;21/05/16;Sim;R$ 0,00;R$ 0,00
23088.007820/2017-17;2017;Quanto vale o dinheiro para os Jovens? Construção e Consolidação do conhecimento de educação financeira entre alunos universitários;ANDRÉ LUIZ MEDEIROS;IEPG;01/04/17;31/12/17;Sim;R$ 0,00;R$ 0,00
23088.011161/2019-20;2019;Palestra Finanças Pessoais;ANDRÉ LUIZ MEDEIROS;IEPG;04/06/19;04/06/19;Sim;R$ 0,00;R$ 0,00
23088.017928/2016-81;2016;Como preparar meu futuro financeiro;ANDRÉ LUIZ MEDEIROS;IEPG;20/09/16;21/09/16;Sim;R$ 0,00;R$ 0,00
23088.019076/2019-18;2019;Palestra Finanças Pessoais;ANDRÉ LUIZ MEDEIROS;IEPG;25/09/19;25/09/19;Sim;R$ 0,00;R$ 0,00
PD001-2019;2019;Drops de Economia e Finanças do Grupo Denarius;ANDRÉ LUIZ MEDEIROS;IEPG;06/12/18;03/12/19;Não;R$ 0,00;R$ 0,00
PJ002-2018;2018;QUANTO VALE O DINHEIRO PARA OS JOVENS? CONSTRUÇÃO E CONSOLIDAÇÃO DO CONHECIMENTO DE EDUCAÇÃO FINANCEIRA ENTRE ALUNOS UNIVERSITÁRIOS;ANDRÉ LUIZ MEDEIROS;IEPG;19/03/18;31/12/18;Sim;R$ 0,00;R$ 0,00
23088.008425/2019-68;2019;Empresa Júnior - In loco Empreendimentos Júnior;ANDRÉ LUIZ VIVAN;IRN;19/04/19;31/12/19;Não;R$ 0,00;R$ 0,00
23088.007264/2016-42;2016;Projeto Play - Empreendedorismo Social;ANDRÉA AP. DA COSTA MINEIRO;IEPG;02/03/15;01/12/15;Sim;R$ 0,00;R$ 0,00
23088.008052/2016-82;2016;Projetos de Empreendedorismo Social;ANDRÉA AP. DA COSTA MINEIRO;IEPG;24/02/16;22/06/16;Sim;R$ 0,00;R$ 0,00
23088.015430/2016-84;2016;Projetos de Empreendedorismo Tecnológico;ANDRÉA AP. DA COSTA MINEIRO;IEPG;03/08/16;30/11/16;Sim;R$ 0,00;R$ 0,00
23088.005364/2018-04;2018;Implantação de um sistema de aquaponia no campus UNIFEI com fins educacionais e de empoderamento social para o município de Itajubá;ANDRÉIA ARANTES BORGES;IRN;19/03/18;31/12/18;Sim;R$ 10.000,00;
23499.000788/2018-32;2018;Equipe Desafio Sampe Itabira;ANDREZA DE SOUSA ANDRADA;Itabira;10/03/18;10/12/18;Sim;R$ 0,00;R$ 0,00
23088.006994/2017-15;2017;Eletrônica de Potência Aplicada a Sistemas Elétricos;ÂNGELO JOSÉ JUNQUEIRA RESEK;ISEE;24/10/16;27/10/16;Sim;R$ 3.500,00;R$ 3.500,00
23088.013695/2017-29;2017;Análise de falhas em motores de indução trifásicos alimentados por inversores de frequencia;ÂNGELO JOSÉ JUNQUEIRA RESEK;ISEE;17/07/17;17/01/18;Sim;R$ 12.000,00;
23088.021680/2016-53;2016;Eletrônica de Potência Aplicada a Sistemas Elétricos;ÂNGELO JOSÉ JUNQUEIRA RESEK;ISEE;24/10/16;27/10/16;Sim;R$ 3.500,00;R$ 3.500,00
PJ005-2019;2019;Montagem de uma impressora 3D com recursos avançados;ANGIE LIZETH ESPINOSA SARMIENTO;IEM;01/05/19;31/12/19;Não;R$ 0,00;R$ 0,00
23499.001736/2018-83;2018;Esocial: implemantação da ferramenta e seus eventos jpráticos para a saúde e segurança do trabalho;ANNA RITA TOMICH M FELIPPE;Itabira;16/11/18;16/12/18;Sim;R$ 0,00;R$ 0,00
23088.002063/2018-11;2018;Beyond Rocket Desing;ANTONIO AUGUSTO ARAÚJO PINTO DA SILVA;IRN;01/01/18;31/12/18;Sim;R$ 10.000,00;R$ 10.000,00
23088.005921/2019-60;2019;Beyond Rocket Design;ANTONIO AUGUSTO ARAÚJO PINTO DA SILVA;IEM;01/01/19;31/12/19;Não;R$ 10.000,00;
23088.001679/2018-74;2018;Coyotes MotoRacing UNIFEI;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/01/18;31/12/18;Sim;R$ 0,00;R$ 0,00
23088.003288/2017-11;2017;Coyotes MotoRacing ;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/01/17;31/12/17;Sim;R$ 23.700,00;R$ 10.000,00
23088.004118/2019-16;2019;Ex Machina;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/01/19;31/12/19;Não;R$ 0,00;R$ 0,00
23088.004250/2017-58;2017;Desenvolvimento de um produto em PEEK/Carbono para reforço interno de selos;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;07/03/17;20/12/17;Não;R$ 23.284,50;
23088.007833/2018-11;2018;Ex Machina;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/01/18;31/12/18;Sim;R$ 0,00;R$ 0,00
23088.009547/2017-18;2017;Ensaios para certificação de cabos de linha Elétrica;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/05/17;20/12/17;Não;R$ 10.780,00;
23088.014781/2016-78;2016;"SUPORTE TÉCNICO PARA ELABORAÇÃO DE ANÁLISES ELEMENTOS FINITOS À FMC""";ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;05/07/16;05/08/16;Sim;R$ 5.000,00;R$ 5.000,00
23088.014782/2016-12;2016;Realização de ensaios de controle de qualidade GE;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;05/07/16;20/12/17;Sim;R$ 1.800,00;R$ 1.800,00
23088.015858/2018-99;2018;Ensaios para caracterização de materiais - analise térmica, reológica, fisico-química, mecânica e não destrutiva;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/08/18;01/08/19;Não;R$ 50.275,00;
23088.015863/2018-00;2018;Ensaios para caracterização de materiais - analise térmica, reológica, fisico-química, mecânica e não destrutiva;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;01/08/18;01/08/19;Sim;R$ 50.275,00;R$ 22.364,85
23088.017904/2017-11;2017;Desenvolvimento de análise e cálculo estrutural preliminar em FEM para uma peça de aplicação na área de óleo e gás;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;18/09/17;28/02/19;Sim;R$ 55.000,00;R$ 55.000,00
23088.017910/2017-61;2017;Desenvolvimento de Protótipos de insertos em compósito PEEK/Carbono;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;18/09/17;18/02/18;Não;R$ 60.600,00;
23088.021726/2016-34;2016;Realização de ensaios de controle de qualidade GE;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;09/12/16;22/12/17;Sim;R$ 17.220,00;R$ 17.220,00
23088.021728/2016-23;2016;Desenvolvimento de um prototipo de mola em PEEK/Carbono;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;12/12/16;28/02/19;Não;R$ 250.000,00;
23088.021731/2016-47;2016;Desenvolvimento de um protótipo de suporte de selos em PEEK/Carbono;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;12/12/16;20/12/17;Não;R$ 161.500,00;
23088.022948/2017-55;2017;Ensaios de Laboratoriais - Ananlise Térmica e Reológica;ANTÔNIO CARLOS ANCELOTTI JUNIOR;IEM;06/11/17;17/11/18;Sim;R$ 33.101,00;R$ 33.101,00
23088.002308/2016-48;2016;Wrecking Ball;ANTÔNIO JOSÉ FARIA BOMBARD;IFQ;25/03/16;10/12/16;Sim;R$ 0,00;R$ 0,00
23499.001358/2019-19;2019;Língua Brasileira de Sinais - Intermediário;APARECIDA PAULA JACOME DOS SANTOS;CGP;27/08/19;26/11/19;Não;R$ 0,00;R$ 0,00
23088.019728/2017-44;2018;Participação em curso de Curta Duração QPSE - Módulo Geração Hidraúlica;BENDITO CLAUDIO DA SILVA;IRN;02/10/17;06/10/17;Sim;R$ 14.000,00;R$ 14.830,84
23088.005222/2019-10;2019;Desenvolvimento de pesquisa aplicada para a elaboração de Plano Diretor II;BENEDITO CLAÚDIO DA SILVA;IRN;12/03/19;12/03/20;Não;R$ 58.920,00;
23088.008647/2017-19;2017;Participação mo curso de curta duração - QPSE - Geração Hidraulica;BENEDITO CLAÚDIO DA SILVA;IRN;15/05/17;19/05/17;Não;R$ 12.600,00;
23088.009955/2019-23;2019;Capacitação técnica em projetos de Resiliência Urbana;BENEDITO CLAÚDIO DA SILVA;IRN;16/05/19;14/06/19;Não;R$ 0,00;R$ 0,00
23088.015285/2018-01;2018;Elaboração de plano diretor;BENEDITO CLAÚDIO DA SILVA;IRN;01/06/18;01/10/18;Não;R$ 89.640,00;
23088.019730/2017-13;2017;Desenvolvimento de pesquisa aplicada para a confecção de levantamento planialtimétrico, modelo digital de terreno e moisaico digital da cidade de Itamonte;BENEDITO CLAÚDIO DA SILVA;IRN;17/10/17;30/09/18;Não;R$ 65.000,00;
23088.001528/2018-16;2018;Contrato de Revisão Técnica em livro com Cessão de Direitos Autorais;BENEDITO DONIZETI BONATTO;ISEE;01/03/18;08/11/18;Sim;R$ 14.652,00;
23088.008494/2018-91;2018;Exposição de Kits Didáticos de Energias Renováveis;BENEDITO DONIZETI BONATTO;ISEE;27/02/18;28/02/18;Sim;R$ 0,00;R$ 0,00
23088.013963/2017-11;2017;"Projeto ""VideoLabs""";BENEDITO DONIZETI BONATTO;ISEE;31/07/17;15/09/17;Sim;R$ 0,00;
23088.013966/2017-46;2017;Projeto “SimuAulas”;BENEDITO DONIZETI BONATTO;ISEE;31/07/17;15/09/17;Sim;R$ 0,00;R$ 0,00
23088.024550/2018-34;2018;Workshop PPC - Engenharia Elétrica;BENEDITO DONIZETI BONATTO;ISEE;25/08/18;25/08/18;Sim;R$ 0,00;R$ 0,00
23088.008153/2017-34;2017;Curso QPSE – Métodos Computacionais e Matemática Aplicada em Sistemas Elétricos de Potência;BENEDITO ISAÍAS DE LIMA LOPES;ISEE;08/05/17;12/05/17;Sim;R$ 8.791,02;R$ 10.430,84
23088.013984/2017-28;2017;Participação no curso de curta duração - QPSE - Métidos Computacionais Aplicados e Sistemas Elétricos;BENEDITO ISAÍAS DE LIMA LOPES;ISEE;06/06/16;10/06/16;Sim;R$ 8.795,66;R$ 8.795,66
23088.020477/2016-40;2016;Curso de Qualificação em Sistemas Elétricos - Estabilidade de Tensão em Sistemas Elétricos de Potência;BENEDITO ISAÍAS DE LIMA LOPES;ISEE;21/06/16;23/06/16;Sim;R$ 4.550,00;R$ 4.550,00
23088.023520/2017-20;2017;Curso QPSE – ESTABILIDADE E DINÂMICA DE SISTEMAS ELÉTRICOS II;BENEDITO ISAÍAS DE LIMA LOPES;ISEE;21/08/17;25/08/17;Sim;R$ 5.520,00;R$ 5.181,85
23499.000378/2017-19;2018;Café Ambiental;BIANCA CABRAL CALDEIRA;Itabira;27/04/17;25/10/17;Sim;R$ 0,00;R$ 0,00
23499.000738/2017-74;2018;Semana do Meio Ambiente;BIANCA CABRAL CALDEIRA;Itabira;05/06/17;08/06/17;Sim;R$ 0,00;R$ 0,00
23499.001191/2017-24;2018;Unifei Portas Abertas _Ensino Médio;BIANCA CABRAL CALDEIRA;Itabira;31/08/17;22/09/17;Sim;R$ 0,00;R$ 0,00
23088.004117/2017-00;2017;V Encontro Mineiro de Sistemas Dinâmicos;BRAÚLIO AUGUSTO GARCIA;IMC;08/11/17;10/11/17;Sim;R$ 25.940,00;R$ 0,00
23088.007411/2019-27;2019;Aplicação de Métodos Computacionais para Previsão de Duração e Frequência de Interrupção de Energia em Estações Distribuidoras;BRUNO GUAZZELLI BATISTA;IMC;04/04/19;31/09/2019;Não;R$ 27.420,13;
23088.019691/2019-16;2019;Aplicação de Métodos Computacionais para Previsão de Duração e Frequência de Interrupção de Energia em Estações Distribuidoras;BRUNO GUAZZELLI BATISTA;IMC;05/10/19;30/06/20;Não;R$ 22.356,00;
23088.002097/2018-13;2018;Projeto FSAE - Equipe Cheetah Racing;BRUNO SILVA DE SOUSA;IEM;01/01/18;31/12/18;Sim;R$ 10.000,00;
23088.006900/2019-61;2019;Projeto Fórmula SAE Cheetah Rcing Unifei;BRUNO SILVA DE SOUSA;IEM;01/01/19;31/12/19;Não;R$ 10.000,00;
23088.007920/2016-15;2016;Projeto Fórmula SAE Cheetah Racing UNIFEI;BRUNO SILVA DE SOUSA;IEM;01/01/16;31/12/16;Sim;R$ 1.000,00;R$ 1.000,00
23088.015219/2017-42;2017;Business Meeting Week;BRUNO SILVA DE SOUSA;IEM;21/08/17;25/08/17;Sim;R$ 0,00;
23088.019727/2017-08;2017;Cheetah Racing Unifei;BRUNO SILVA DE SOUSA;IEM;01/01/17;31/12/17;Sim;R$ 0,00;R$ 0,00
23088.018139/2017-79;2017;Aplicação de Técnicas Big Data em dados gerados por sistemas de telemetria e gerenciamento de operaçoes de campo ;BRUNO TARDIOLE KUEHNE;IESTI;01/09/17;28/02/19;Não;R$ 29.865,00;
23088.018230/2019-26;2019;Resiliência Unifei;BRUNO VIDAL DE ALMEIDA;IEM;27/09/19;23/09/20;Não;R$ 0,00;R$ 0,00
23088.012020/2017-62;2017;Avaliação de Impactos Ambientais Parque Municipal de Itajubá;CAMILA ROCHA GALHARDO;IRN;13/04/17;30/06/17;Não;R$ 0,00;
23088.005872/2017-01;2017;II Seminário Nacional de Politicas Culturais e Ambientais;CARLOS ALBERTO MÁXIMO PIMENTA;IEPG;24/07/17;24/10/17;Sim;R$ 0,00;R$ 0,00
23088.008626/2016-12;2016;Cine & Prosa;CARLOS ALBERTO MÁXIMO PIMENTA;IEPG;01/06/16;31/05/17;Sim;R$ 0,00;R$ 0,00
23088.009584/2016-37;2016;Cine e Prosa;CARLOS ALBERTO MÁXIMO PIMENTA;IEPG;12/05/15;11/05/16;Sim;R$ 0,00;R$ 0,00
23088.010894/2017-85;2017;Curso de Extensão EaD sobre Tecnologias e Educação;CARLOS ALBERTO MÁXIMO PIMENTA;IEPG;12/06/17;30/06/17;Sim;R$ 0,00;
23088.013163/2018-72;2018;Fluir Mandu: expressões culturais no Bairro São Geraldo;CARLOS ALBERTO MÁXIMO PIMENTA;IEPG;02/07/18;20/12/18;Sim;R$ 0,00;R$ 0,00
23088.021801/2017-48;2017;IV Encontro de Pesquisa sobre o desemvolvimento, Tecnologias e Sociedade e Encontro Internacional em Pesquisa sobre desenvolvimento Regional e Economia Social;CARLOS ALBERTO MÁXIMO PIMENTA;IFQ;13/11/17;22/11/17;Sim;R$ 0,00;R$ 0,00
23088.001838/2014-15;2019;Curso de Aperfeiçoamento da Mão de obra da Construção Civil;CARLOS AUGUSTO DE SOUZA OLIVEIRA;ITABIRA;15/06/14;15/11/14;Sim;R$ 13.180,24;R$ 13.180,24
23499.001708/2017-85;2018;Desafio do Concreto;CARLOS AUGUSTO DE SOUZA OLIVEIRA;Itabira;01/11/17;29/12/17;Sim;R$ 0,00;R$ 0,00
23499.001742/2018-31;2018;Curso de Aperfeiçoamento da Mão de obra da Construção Civil;CARLOS AUGUSTO DE SOUZA OLIVEIRA;Itabira;05/11/18;05/12/18;Sim;R$ 0,00;R$ 0,00
23088.012266/2018-15;2019;"Participação, em caráter esporádico, do Prof. Carlos Barreira Martinez no curso de pós-graduação lato sensu intitulado ""Fontes de Energia Renováveis - Geração, Operação e Integração"", ofertado UFMG/FCO";CARLOS BARREIRA MARTINEZ;IEM;01/10/18;01/10/19;Sim;R$ 0,00;R$ 0,00
23088.006037/2018-61;2018;Fortalecimento e Ampliação do Programa de Incubação Tecnológica de Cooperativas Populares de Itajubá (INTECOOP);CARLOS EDUARDO CORRÊA MOLINA;IEM;19/03/18;31/12/18;Sim;R$ 9.600,00;R$ 9.600,00
23088.006098/2019-18;2019;Intecoop Itajubá: incubando e transformando vidas por meio da extensão universitária;CARLOS EDUARDO CORRÊA MOLINA;IEM;06/03/19;31/12/19;Não;R$ 9.600,00;
23088.007817/2017-48;2017;Consolidação e Reestruturação do Programa de Incubação da INTECOOP - com a priorização de açoes estratégicas e de gestão às associações e cooperativas incubadas;CARLOS EDUARDO CORRÊA MOLINA;IEM;01/04/17;31/12/17;Sim;R$ 10.000,00;
23088.021269/2017-69;2018;Palestra Movimento Brasil Livre;CARLOS EDUARDO CORRÊA MOLINA;IEM;09/11/17;09/11/17;Sim;R$ 0,00;R$ 0,00
23088.000654/2018-53;2018;Proposta e Análise do Gerenciamento de Risco no Sistema de Gestão da Qualidade - Transição da Norma NBR ISO 9001:2008 para a NBR ISO 9001:2015 - ênfase na redução de registros e documentação por meio do desenvolvimento e implantação de sistema de teste e rastreabilidade automatizados para as linhas de produção - Parte do Projeto de Pesquisa Modelo Automatizado de Medição e Monitoramento do Sistema de Gestão da Qualidadee rastreabilidade automatizados para as linhas de produção - Parte do Projeto de Pesquisa Modelo Automatizado de Medição e Monitoramento do Sistema de Gestão da Qualidade;CARLOS EDUARDO SANCHES DA SILVA;IEPG;15/01/18;31/08/18;Não;R$ 8.500,00;
23088.001049/2019-81;2019;Curso Reciclagem Auditores Internos SISVOO;CARLOS EDUARDO SANCHES DA SILVA;IEPG;14/01/19;14/04/19;Não;R$ 2.000,00;
23088.020105/2018-03;2018;"Palestra ""Engenharia de Produção: novas Tendências e Avanços"" - Universidade de Rio Verde GO";CARLOS EDUARDO SANCHES DA SILVA;IEPG;26/09/18;26/09/18;Não;R$ 2.000,00;
23088.005593/2016-59;2016;Semana de Engenharia de Produção;CARLOS HENRIQUE PEREIRA MELLO;IEPG;22/08/16;26/09/16;Sim;R$ 1.000,00;R$ 1.000,00
23088.011487/2018-76;2018;Participação em curso de especialização em Engenharia de Processos, Produtividade e Qualidade;CARLOS HENRIQUE PEREIRA MELLO;IEPG;09/06/18;15/12/18;Sim;R$ 31.377,50;R$ 15.911,38
23088.025123/2018-73;2018;Impressão de peças por prototipagem rápida;CARLOS HENRIQUE PEREIRA MELLO;PROEX;22/10/18;21/10/19;Sim;R$ 0,00;R$ 0,00
EV002-2017;2017;SEMANA DE ENGENHARIA PRODUÇÃO - SEMEPRO;CARLOS HENRIQUE PEREIRA MELLO;IEPG;16/08/17;18/08/17;Sim;R$ 0,00;R$ 0,00
EV004-2018;2018;WE INOVAi Conference;CARLOS HENRIQUE PEREIRA MELLO;IEPG;04/04/18;04/04/18;Sim;R$ 0,00;R$ 0,00
EV005-2018;2018;We INOVAI Fórum - Desenvolvendo ambientes de negócios entre Indústrias e Startups;CARLOS HENRIQUE PEREIRA MELLO;IEPG;10/05/18;10/05/18;Sim;R$ 0,00;R$ 0,00
23088.000864/2016-80;2016;Projeto Cheetah E-Racing de Fórmula SAE Elétrico;CARLOS HENRIQUE VALÉRIO DE MORAES;IESTI;05/02/16;05/02/17;Sim;R$ 0,00;R$ 0,00
23088.010542/2019-91;2019;Sistema Inteligente de Gestão da Manutenção e Operação de Ativos (SIGO);CARLOS HENRIQUE VALÉRIO DE MORAES;IESTI;18/04/19;17/04/20;Não;R$ 50.400,00;
23088.010554/2019-16;2019;Sistema Inteligente de Gestão da Manutenção e Operação de Ativos (SIGO);CARLOS HENRIQUE VALÉRIO DE MORAES;IESTI;18/04/19;17/04/20;Não;R$ 50.400,00;
23088.006160/2019-63;2019;Estudo de gases combustíveis e realização de ensaios com motor a gás;CARLOS ROBERTO ROCHA;IRN;01/04/19;01/07/19;Não;R$ 0,00;R$ 0,00
23499.001374/2017-40;2018;Capoeira: Prática de transformação social do indíviduo;CAROLINA LIPPARELLI MORELLI;Itabira;01/03/18;31/12/18;Sim;R$ 7.084,00;
23499.001374/2017-40;2018;Capoeira  - pratica de transformação social e do individuo;CAROLINA LIPPARELLI MORELLI;Itabira;02/10/17;31/12/18;Sim;R$ 0,00;R$ 0,00
