Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
23499.000493/2018-66;2018;A queimada e seus impactor no meio urbano: abordagens direcionadas ao ensino fundamental e médio;ROSE MARIE BELARDI;Itabira;01/05/18;31/12/18;Sim;R$ 0,00;R$ 0,00
23499.000527/2019-01;2019;A queimada e seus impactos no meio urbano: abordagens direcionadas ao ensino fundamental e médio;ROSE-MARIE BELARDI;ICPA;29/04/19;28/04/20;Não;R$ 0,00;R$ 0,00
23499.000904/2017-32;2018;Cheerleaders;ROSE-MARIE BELARDI;Itabira;01/07/17;01/07/18;Sim;R$ 0,00;R$ 0,00
23499.001722/2018-60;2018;Cheerleaders;ROSE-MARIE BELARDI;Itabira;12/09/18;12/09/19;Não;R$ 0,00;R$ 0,00
23088.013752/2018-51;2018;Participação em Curso de Curta Duração em Manutenção em Transformadores;ROSSANO GIMENES;IFQ;03/07/18;02/07/19;Sim;R$ 3.200,00;R$ 8.806,84
23088.014182/2019-05;2019;Participação em Curso de Curta Duração em Manutenção e Testes Avançados em Transformadores de Potência - Teoria e Prática;ROSSANO GIMENES;IFQ;16/07/19;16/07/20;Não;R$ 1.770,88;
23088.019191/2019-84;2019;Orientação sobre Procedimentos Confiáveis de Amostragem de Óleo Isolante em Transformadores de Potência;ROSSANO GIMENES;IFQ;27/09/19;31/01/20;Não;R$ 950,00;
23088.019634/2017-75;2017;Participação em Curso de Curta Duração em Manutenção em Transformadores;ROSSANO GIMENES;IFQ;26/09/17;29/09/17;Sim;R$ 1.367,52;R$ 2.051,28
23499.000241/2016-75;2018;LOTS Aerodesign;RUBEN ALEXIS MIRANDA CARRILHO;Itabira;01/01/16;31/12/16;Sim;R$ 0,00;R$ 0,00
23499.000431/2017-73;2018;LOTS Aerodesing;RUBEN ALEXIS MIRANDA CARRILHO;Itabira;10/04/17;01/09/17;Sim;R$ 0,00;R$ 0,00
23499.000496/2018-08;2018;L.O.T.S Aerodesign;RUBEN ALEXIS MIRANDA CARRILHO;Itabira;13/04/18;31/12/18;Sim;R$ 0,00;R$ 0,00
23499.001231/2017-38;2018;L.O.T.S Aerodesign;RUBEN ALEXIS MIRANDA CARRILHO;Itabira;11/09/17;07/04/18;Sim;R$ 9.304,50;R$ 9.304,50
23088.005138/2019-04;2019;Todos somos leitores;SANDRA NAKAMATSU;IFQ;01/02/19;30/12/19;Não;R$ 0,00;R$ 0,00
23088.012531/2019-46;2019;Blue Brunnies;SANDRA NAKAMATSU;IFQ;26/02/19;10/12/19;Não;R$ 0,00;R$ 0,00
23088.014613/2017-63;2018;Todos somos leitores;SANDRA NAKAMATSU;IFQ;08/03/17;06/12/17;Sim;R$ 0,00;R$ 0,00
23499.000748/2017-18;2018;#Include - Sala Virtual - ECO;SANDRO CARVALHO IZIDORO;Itabira;12/06/17;01/12/17;Sim;R$ 0,00;R$ 0,00
23088.008634/2018-21;2018;Medição da Condutividade Térmica;SANDRO MENTREVELLE MARCONDES DE LIMA E SILVA;IEM;01/04/18;31/12/18;Sim;R$ 4.597,70;R$ 4.597,70
23088.016013/2018-11;2018;Determinação da Condutividade Térmica em Função do Número de Fios e Temperatura de Cabos de Rutherford;SANDRO MENTREVELLE MARCONDES DE LIMA E SILVA;IEM;10/07/18;31/12/18;Sim;R$ 12.000,00;R$ 12.000,00
23088.022242/2016-11;2016;Medição de Condutividade Térmica;SANDRO MENTREVELLE MARCONDES DE LIMA E SILVA;IEM;01/02/17;31/10/17;Sim;R$ 2.214,01;R$ 2.214,01
23088.006969/2019-95;2019;Medição de Condutividade térmica em cabos de Rutherford com bitolas diferentes ;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;05/04/19;31/12/19;Não;R$ 8.235,30;
23088.009717/2019-18;2019;Medição da Condutividade Térmica pelo Método da Placa Quente Protegida em 6 Traços de Concreto;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;13/05/19;19/10/19;Não;R$ 3.690,00;
23088.027168/2018-82;2019;Montagem de Dispostivo de Solda por Descarga Capacitativa;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;20/12/18;11/03/19;Sim;R$ 1.150,00;R$ 1.150,00
PJ004-2019;2019;Aprimoramento do Dispositivo de Descarga Capacitativa para Fixação de Termopares em Metais;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;01/05/19;31/12/19;Não;R$ 0,00;R$ 0,00
23088.001718/2019-14;2019;Revisão Técnica de Livro de Engenharia ;SEBASTIÃO SIMÕES DA CUNHA JUNIOR;IEM;01/12/17;01/12/18;Sim;R$ 9.449,00;R$ 9.449,00
23088.009450/2019-69;2019;Contribuições dos alunos do curso Ciências Biológicas Licenciatura para as atividades da Semana do Meio Ambiente e Educação Ambiental da Secretaria do Mio Ambiente de Itajubá;SIMONE POLICENA ROSA;IRN;10/05/19;10/06/19;Sim;R$ 0,00;R$ 0,00
23088.011739/2019-48;2019;Biologia de portas abertas;SIMONE POLICENA ROSA;IRN;03/06/19;29/06/19;Não;R$ 0,00;R$ 0,00
23088.019515/2016-31;2016;Campanha de conscientização prevenção combate do mosquito Aedes aegypti ;SIMONE POLICENA ROSA;IRN;19/10/16;20/12/17;Sim;R$ 0,00;R$ 0,00
23499.001039/2019-11;2019;III Feira de Estágios em Engenharias de Itabira - FEEI;TABATA FERNANDES PEREIRA;IEI;27/06/19;23/05/20;Não;R$ 0,00;R$ 0,00
23499.000369/2019-81;2019;Feira de Estágios em Engenharias de Itabira - FEEI;TÁBATA FERNANDES PEREIRA;IEI;23/04/19;02/06/19;Sim;R$ 0,00;R$ 0,00
23499.001294/2018-75;2018;Feira de Estágio de Engenharia de Produção - FEEP;TÁBATA FERNANDES PEREIRA;Itabira;18/10/18;18/10/18;Sim;R$ 0,00;R$ 0,00
23499.001458/2018-64;2018;EPR weekend;TÁBATA FERNANDES PEREIRA;Itabira;11/09/18;30/11/18;Sim;R$ 0,00;R$ 0,00
CR002-2019;2019;Propriedade Intelectual for Noobies;TAISA CORRÊA;PROEX;27/03/19;28/03/19;Não;R$ 0,00;R$ 0,00
CR003-2019;2019;Workshop Redação de Patentes;TAISA CORRÊA;PROEX;01/04/19;02/04/19;Não;R$ 0,00;R$ 0,00
CR004-2019;2019;Formação para Busca de Anterioridade;TAISA CORRÊA;PROEX;01/04/19;10/04/19;Não;R$ 0,00;R$ 0,00
EV003-2018;2018;Busca de Anterioridade;TAISA CORRÊA;NIT;16/04/18;18/04/18;Sim;R$ 0,00;R$ 0,00
EV003-2019;2019;Propriedade Intelectual - Especial Química;TAISA CORRÊA;PROEX;20/05/19;20/05/19;Não;R$ 0,00;R$ 0,00
23088.004045/2016-10;2016;Tutoria em Robótica Lego;TALES CLEBER PIMENTA;IESTI;16/03/16;16/01/17;Sim;;R$ 18.200,00
23088.014256/2016-52;2016;Equipe Uai!rrior de Robótica ;TALES CLEBER PIMENTA;IESTI;22/08/16;22/08/17;Sim;R$ 78.000,00;R$ 28.953,00
23088.015958/2017-34;2017;Equipe Uai!rrior de Robótica;TALES CLEBER PIMENTA;IESTI;22/08/17;22/08/18;Sim;R$ 52.500,00;R$ 10.000,00
23088.016516/2018-96;2018;Equipe Uai!rrior de Robótica;TALES CLEBER PIMENTA;IESTI;22/08/18;22/08/19;Não;R$ 0,00;R$ 0,00
23088.017813/2019-30;2019;Equipe Uai!Rrior de Robótica;TALES CLEBER PIMENTA;IESTI;02/09/19;15/01/19;Não;R$ 0,00;R$ 0,00
23499.001488/2017-90;2019;Suicide Hawks Engineering;TARCÍSIO GONÇALVES DE BRITO;IEI;24/10/16;25/10/17;Sim;R$ 0,00;R$ 0,00
23499.001749/2017-71;2018;Semana do curso de Engenharia Mecânica - Campus da UNIFEI Gomides;TARCÍSIO GONÇALVES DE BRITO;Itabira;06/10/17;10/11/17;Sim;R$ 0,00;R$ 0,00
23088.002946/2018-21;2018;Oficinas Temáticas: Projeto de Intervenção Psicossocial e Pedagógica - Depressão e Ansiedade na vida acadêmica;THAMIRIS DANIEL DOS SANTOS;DAE;10/04/18;10/04/18;Sim;R$ 0,00;R$ 0,00
EV014-2018;2018;Setembro Amarelo;THAMIRIS DANIEL DOS SANTOS;DAE;03/09/18;28/09/18;Sim;R$ 0,00;R$ 0,00
23088.005891/2017-20;2017;SECOMP - Semana da Computação;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;03/04/17;07/04/17;Sim;R$ 0,00;
23088.013352/2018-45;2018;Manutenção dos Computadores da Polícia Civil do Estado de Minas Gerais;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;03/04/18;02/04/19;Não;R$ 0,00;R$ 0,00
23088.017965/2017-71;2017;Code Week;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;16/10/17;22/10/17;Sim;R$ 0,00;
23088.018920/2019-85;2019;InterPET 2019;THATYANA DE FARIA PIOLA SERAPHIM;IESTI;07/09/19;07/09/19;Sim;R$ 0,00;R$ 0,00
