Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
CR010-2022;2022;PLANEJANDO UMA DISCIPLINA EM 3 DIMENSÕES: CONTEUDO, COMPETÊNCIA E CONHECIMENTO;MILADY RENATA APOLINARIO DA SILVA;ICPA;31/03/2022;31/03/2022;SIM;;
PJ044-2022;2022;ENGENHEIROS DA ALEGRIA;LUCILENE DE OLIVEIRA RODRIGUES CHAVES;IEM;20/03/2022;20/12/2022;NÃO;;
PJ043-2022;2022;CURSO ASSISTENCIAL THEODOMIRO SANTIAGO - CAAI;PATRICIA DA SILVA LOPES ALEXANDRINO;IEM;01/02/2022;31/12/2022;NÃO;;
PJ088-2021;2022;EQUIPE DE COMPETICAO AUTOMOTOR IEI;LEONARDO ALBERGARIA OLIVEIRA;IEI;08/03/2021;31/12/2021;SIM;R$9.939,00;R$9.939,00
EV005-2022;2022;INTEGRA 2022;PATRICIA DA SILVA LOPES ALEXANDRINO;IEM;28/03/2022;08/04/2022;SIM;;
PJ066-2022;2022;UIRA MICRO;GUILHERME FERREIRA GOMES;IEM;08/03/2022;30/12/2022;NÃO;R$12.390,00;
PJ063-2022;2022;MARATONA DE PROGRAMACAO;LUIZ OLMES CARVALHO;IMC;14/03/2022;31/12/2022;NÃO;R$12.750,00;
PJ062-2022;2022;LOTS AERODESIGN;RENY ANGELA RENZETTI;IEI;10/03/2022;31/12/2022;NÃO;R$10.974,00;
PJ059-2022;2022;EX MACHINA;OTAVIO DE SOUZA MARTINS GOMES;IESTI;14/03/2022;31/12/2022;NÃO;R$13.000,00;
PJ055-2022;2022;ECOVEICULO ELETRICO;GABRIEL ANTONIO FANELLI DE SOUZA;IESTI;15/03/2022;31/12/2022;NÃO;R$12.998,38;
PJ053-2022;2022;DRUMONSTERS: ENGENHARIA APLICADA II;JULIANO DE ALMEIDA MONTE MOR;ICT;08/03/2022;31/12/2022;NÃO;R$10.000,00;
PJ051-2022;2022;COYOTES MOTORACING UNIFEI;PAULO PEREIRA JUNIOR;IEM;14/03/2022;30/12/2022;NÃO;R$13.000,00;
PJ050-2022;2022;CHEETAH RACING UNIFEI;BRUNO SILVA DE SOUSA;IEM;08/03/2022;30/12/2022;NÃO;R$13.000,00;
PJ046-2022;2022;MEDICAO DA CONDUTIVIDADE TERMICA DE UM CREME PARA REDE;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;15/03/2022;31/07/2022;SIM;R$1.307,19;R$1.307,19
PJ045-2022;2022;DESENVOLVIMENTO DE PROGRAMA/MODULO DE CALCULO ESTRUTURAL PARA REATORES;JESUS ANTONIO GARCIA SANCHEZ;IEM;14/03/2022;31/12/2022;NÃO;R$42.915,07;
PJ057-2022;2022;EQUIPE UAI!RRIOR DE AUTONOMOS;KLEBER ROBERTO DA SILVA SANTOS;IESTI;08/03/2022;31/12/2022;NÃO;R$39.360,00;
PJ064-2022;2022;TAMARUTACA: MARATONA DE PROGRAMACAO;PAULO JOSE LAGE ALVARENGA;ICT;08/03/2022;31/12/2022;NÃO;R$13.000,00;R$13.000,00
PJ056-2022;2022;EQUIPE SACI BAJA SAE;JEAN CARLO CESCON PEREIRA;IEM;22/03/2022;31/12/2022;NÃO;R$12.921,22;R$12.921,22
PJ047-2022;2022;BLACK BEE DRONES;BRUNO GUAZZELLI BATISTA;IMC;08/03/2022;31/12/2022;NÃO;R$12.868,76;
EV008-2022;2022;1º ENCONTRO SUL-MINEIRO EM HISTORIAM FILOSOFIA E ENSINO DE CIENCIAS;EVANDRO FORTES ROZENTALSKI;IFQ;26/04/2022;29/04/2022;SIM;;
EV007-2022;2022;PERSPECTIVA DA ECONOMIA PARA 2022 - O QUE ESPERAR DA ECONOMIA DO BRASIL E DE ITAJUBÁ PARA 2022;ANDRE LUIZ MEDEIROS;IEPG;24/03/2022;24/03/2022;SIM;;
EV006-2022;2022;TROTE SOLIDARIO 2022 DO CENTRO ACADEMICO DE ENGENHARIA DE SAUDE E SEGURANÇA (CAESS);GABRIELA DA FONSECA DE AMORIM;ICPA;25/03/2022;08/04/2022;SIM;;
CR012-2022;2022;MACROS E VBA PARA PLANILHAS ELETRONICAS - TURMA 2022.1;CARLOS HENRIQUE PEREIRA MELLO;IEPG;05/04/2022;09/08/2022;NÃO;;
CR011-2022;2022;TINYML - APRENDIZADO DE MÁQUINA APLICADO PARA DISPOSITIVOS IOT EMBARCADOS;JOSE ALBERTO FERREIRA FILHO;IESTI;30/03/2022;30/07/2022;SIM;;
PJ077-2022;2022;JORNADA DE FISICA PARA ALUNOS DO ENSINO MEDIO;GABRIEL RODRIGUES HICKEL;IFQ;01/04/2022;30/09/2022;NÃO;R$8.400,00;
PJ076-2022;2022;SUA CIENCIA NA UNIFEI;HEKTOR STHENOS ALVES MONTEIRO;IFQ;01/04/2022;01/12/2022;NÃO;R$7.200,00;
PJ075-2022;2022;TESTES DE PROFICIENCIA EM ELIMINADORES DE AR;CARLOS BARREIRA MARTINEZ;IEM;07/03/2022;31/12/2022;NÃO;R$30.000,00;
PJ074-2022;2022;PREVISOES DE VAZOES PARA USINAS HIDROELETRICAS DE VE ENERGIA;BENEDITO CLAUDIO DA SILVA;IRN;21/02/2022;19/08/2022;NÃO;R$19.491,52;
PJ073-2022;2022;ESTUDO DOS CICLONES NO ATLANTICO SUL EM PROJECOES CLIMATICAS;MICHELLE SIMOES REBOITA;IRN;15/05/2022;15/11/2022;NÃO;R$14.738,16;
PJ072-2022;2022;CENTRO DE EXCELENCIA EM VOLEI DE PRAIA: DA FORMACAO AO RENDIMENTO;RICARDO DE MELO DIAS;DSQ;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ071-2022;2022;MEDICAO DA CONDUTIVIDADE TERMICA DE MATERIAISI COMPOSITOS USANDO O METODO DA PLACA QUENTE;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;15/03/2022;31/07/2022;SIM;;R$10.457,52
PJ070-2022;2022;CURSO DE ANALISE DE INVESTIMENTOS - FUNDACAO GORCEIX UFOP MARCO 2022;CLEBER GONCALVES JUNIOR;IEPG;21/03/2022;26/03/2022;SIM;R$5.000,00;R$4.500,00
PJ069-2022;2022;CARACTERIZACAO DE PROPRIEDADES TERMICAS EM AMOSTRAS DE CABOS DE RUTHERFORD HETEROGENEAS;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;01/04/2022;31/12/2022;NÃO;R$15.224,92;
PJ065-2022;2022;UIRA AERODESIGN;YOHAN ALI DIAZ MENDEZ;IEM;08/03/2022;31/12/2022;NÃO;R$12.360,00;
PJ052-2022;2022;DEV-U;PEDRO HENRIQUE DEL BIANCO HOKAMA;IMC;14/03/2022;31/12/2022;NÃO;R$3.821,00;
PJ048-2022;2022;BEYOND ROCKET DESIGN;CARLOS EDUARDO CORREA MOLINA;IEM;14/03/2022;31/12/2022;NÃO;R$13.000,00;
PJ119-2021;2022;FEIRA DE ESTAGIOS EM ENGENHARIA DE ITABIRA - FEEI;TABATA FERNANDES PEREIRA;IEI;03/05/2021;31/12/2021;SIM;R$10.000,00;
CR013-2022;2022;FORMACAO COMPLEMENTAR EM REDES DE COMPUTADORES;RODRIGO APARECIDO DA SILVA BRAGA;ICT;15/04/2022;16/12/2022;NÃO;R$1.000,00;
PJ102-2022;2022;ENGENHEIROS SEM FRONTEIRAS E UNIFEI: ACOES DE IMPACTO SOCIAL COM FOCO NA CIDADE DE ITABIRA;GABRIELA DA FONSECA DE AMORIM;ICPA;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ099-2022;2022;DISSEMINACAO DE INFORMACOES HODROMETEOROLOGICAS E AMBIENTAIS PARA A POPULACAO ITAJUBENSE - EDICAO 2022;MICHELLE SIMOES REBOITA;IRN;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ097-2022;2022;MAQUINAS DE LEONARDO DA VINCI - 2022;EDELMA ELETO DA SILVA;ICPA;01/04/2022;30/12/2022;NÃO;R$7.400,00;
PJ095-2022;2022;POMAR URBANO COMUINITÁRIO DO BAIRRO ANHUMAS;CARLOS EDUARDO CORREA MOLINA;IEM;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ093-2022;2022;DISSEMINACAO DE CULTURA DE SEGURANCA QUIMICA DNA UNIFEI PARTE II - O DESENVOLVIMENTO DO PLANO DE EMERGENCIA;MILADY RENATA APOLINARIO DA SILVA;IFQ;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ092-2022;2022;GRUPO DE ESTUDOS INTERDISCIPLINARES E FORMACAO DE PROFESSORES: ABORDAGENS PRATICAS INVESTIGATIVAS PARA NOVOS CONTEXTOS DE ENSINO;EVANDRO FORTES ROZENTALSKI;IFQ;01/04/2022;31/12/2022;NÃO;R$10.000,00;
PJ091-2022;2022;DESENVOLVIMENTO DE PROJETOS DE ENGENHARIA PARA REVITALIZAÇÃO DAS INSTALAÇÕES DO PARQUE ECOLOGICO DO BAIRRO JUCA BATISTA EM ITABIRA - MG;GABRIELA DA FONSECA DE AMORIM;ICPA;01/04/2022;31/12/2022;NÃO;R$9.600,00;
PJ090-2022;2022;PROJETO SIMBIOSE NOS MARINS;ROGERIO MELLONI;IRN;01/04/2022;31/12/2022;NÃO;R$9.939,45;
PJ089-2022;2022;REDE CAMARGO DE ENGENHARIA POPULAR:PRESERVACAO AMBIENTAL E ASSOCIATIVISMO NA COLETA DE MATERIAIS RECICLAVEIS;LEONARDO FERREIRA REIS;ICPA;04/04/2022;31/12/2022;NÃO;R$9.954,00;
PJ088-2022;2022;RENEWABLE ENERGIES OPEN EDUCATION FOR SUSTAINANABLE AND SMART LIVING;BENEDITO DONIZETI BONATTO;ISEE;01/04/2022;31/12/2022;NÃO;R$9.992,34;
PJ087-2022;2022;REVISTA AMAN-TI-KYR: ESTUDOS INTERDISCIPLINARES EM EDUCACAO;ALESSANDRA RODRIGUES;IFQ;01/04/2022;31/12/2022;NÃO;R$7.200,00;
PJ086-2022;2022;TRAJETORIA  DA CABACA NA TERRA CAIPIRA PAULISTA E MINEIRA - EXPOSICAO ITINERANTE;ADILSON DA SILVA MELLO;IEPG;04/04/2022;37/12/2022;NÃO;R$9.984,95;
PJ085-2022;2022;DE 22 A 22: ANTROFAGIAS BRASILEIRAS;MARCIA DE SOUZA LUZ FREITAS;IFQ;01/04/2022;31/12/2022;NÃO;R$6.400,00;
PJ084-2022;2022;CURSO DE EXTENSÃO: PRATICA SOBRE DESENVOLVIEMNTO, TECNOLOGIA E SOCIEDADE;CARLOS ALBERTO MAXIMO PIMENTA;IEPG;01/04/2022;31/12/2022;NÃO;R$9.900,00;
