Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
23088.021726/2016-34,2016,REALIZACAO DE ENSAIOS DE CONTROLE DE QUALIDADE GE,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,9/12/2016,22/12/2017,SIM," R$ 17.220,00 "," R$ 17.220,00 "
23088.017938/2016-17,2016,PARTICIPACAO EM PROGRAMA DE FORMACAO E CAPACITACAO EM INOVACAO DE PROCESSOS DE AVALIACAO DE INVESTIMENTOS EM EMPRESA DE LOGISTICA E SUCROENERGETICA: ENGENHARIA ECONOMICA,EDSON DE OLIVEIRA PAMPLONA,IEPG,1/9/2016,2/9/2016,SIM," R$ 2.636,00 "," R$ 2.636,59 "
23088.019251/2016-16,2016,PARTICIPACAO EM PROGRAMA DE FORMACAO E CAPACITACAO EM INOVACAO DE PROCESSOS DE AVALIACAO DE INVESTIMENTOS EM PPPS: ENGENHARIA ECONOMICA I E II,JOSE ARNALDO BARRA MONTEVECHI,IEPG,17/10/2016,18/10/2016,SIM," R$ 18.700,00 "," R$ 15.114,30 "
23088.019253/2016-13,2016,PARTICIPACAO EM PROGRAMA DE FORMACAO E CAPACITACAO EM INOVACAO DE PROCESSOS DE AVALIACAO DE INVESTIMENTOS EM PPPS: ENGENHARIA ECONOMICA I E II,EDSON DE OLIVEIRA PAMPLONA,IEPG,19/10/2016,21/10/2016,SIM," R$ 28.000,00 "," R$ 28.751,59 "
23088.021731/2016-47,2016,DESENVOLVIMENTO DE UM PROTOTIPO DE SUPORTE DE SELOS EM PEEK/CARBONO,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,12/12/2016,20/12/2017,NÃO," R$ 161.500,00 ",
23088.022242/2016-11,2016,MEDICAO DE CONDUTIVIDADE TERMICA,SANDRO MENTREVELLE MARCONDES DE LIMA E SILVA,IEM,1/2/2017,31/10/2017,SIM," R$ 2.214,01 "," R$ 2.214,01 "
23088.022326/2016-46,2016,ENSAIO DE EFICIENCIA DE BOMBAS CENTRIFUGAS,ROBERTO ALVES DE ALMEIDA,IRN,1/1/2017,30/6/2017,SIM," R$ 140.000,00 "," R$ 216.734,50 "
23088.021972/2016-96,2016,INSPECAO DE ENSAIOS EM ISOLADORES E TRANSFORMADORES,ESTACIO TAVARES WANDERLEY NETO,ISEE,1/7/2016,31/12/2016,SIM, R$ -   ," R$ 8.133,84 "
23088.000946/2017-13,2017,SENSIBILIZACAO DE ALUNOS DO ENSINO FUNDAMENTAL SOBRE RESIDUOS SOLIDOS,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,25/11/2016,25/11/2016,SIM, R$ -   , R$ -   
23088.001150/2017-70,2017,III LATIN AMERICAN MEETING HYDRO POWER END SYSTEMS,GERALDO LUCIO TIAGO FILHO,IRN,5/9/2017,7/9/2017,NÃO, R$ -   , R$ -   
23088.000348/2017-36,2016,CERTIFICACAO E ENSAIOS DE PRODUTOS DE TECNOLOGIA E TELECOMUNICACAO,JOSE CARLOS GRILLO RODRIGUES,ISEE,1/1/2017,31/7/2018,NÃO, R$ -   , R$ -   
23088.021968/2016-28,2016,ENSAIOS ELETRICOS EM TRANSFORMADORES,ESTACIO TAVARES WANDERLEY NETO,ISEE,1/1/2017,30/6/2017,SIM," R$ 330.000,00 ",
23088.021964/2016-40,2016,ENSAIOS ELETRICOS,ESTACIO TAVARES WANDERLEY NETO,ISEE,2/1/2017,30/6/2017,SIM," R$ 175.150,00 "," R$ 104.783,08 "
23088.003196/2016-42,2016,PROJETO BAJA - SACI,FELIPE DE SOUZA ELOY,IEM,1/1/2016,31/12/2016,SIM, R$ -   , R$ -   
23088.021971/2016-41,2016,ENSAIOS FISICO-QUIMICOS EM MATERIAIS ELETRICOS,ESTACIO TAVARES WANDERLEY NETO,ISEE,1/1/2017,30/6/2017,SIM, R$ -   , R$ -   
23088.002471/2017-91,2017,PROJETO BAJA - EQUIPE SACI,DIEGO MAURICIO YEPES MAYA,IEM,1/1/2017,31/12/2017,SIM," R$ 24.425,44 "," R$ 24.425,44 "
23088.002798/2017-63,2017,CURSO ASSISTENCIAL THEODOMIRO SANTIAGO - CATS,EDMILSON MARMO MOREIRA,IESTI,10/1/2016,10/12/2016,SIM, R$ -   , R$ -   
23088.002876/2017-20,2017,AIRCRAFT STRUCTURAL ANALYSIS USING THE FINITE ELEMENT METHOD,PATRICIA SILVA LOPES ALEXANDRINO,IEM,13/2/2017,17/2/2017,SIM, R$ -   , R$ -   
23088.017590/2016-68,2016,CURSO DE TERMOGRAFIA NA EMPRESA VALE,GUILHERME SOUSA BASTOS,IESTI,13/10/2016,14/10/2016,SIM, R$ -   ," R$ 9.940,38 "
23088.021446/2016-26,2016,"WORKSHOP DE EMPREENDEDORISMO, EDUCACAO EMPREENDEDORA, APRENDIZAGEM ATIVA E DESIGN THINKING PARA PROFESSORES E ESTUDANTES DA ESCOLA PUBLICA DE ENSINO MEDIO",ELZO ALVES ARANHA,IEPG,9/12/2016,12/12/2016,SIM, R$ -   , R$ -   
23088.003287/2017-69,2017,CURSO ASSISTENCIAL THEODOMIRO SANTIAGO - CATS,EDMILSON MARMO MOREIRA,IESTI,10/1/2017,10/12/2017,SIM, R$ -   , R$ -   
23088.003333/2017-20,2017,PROJETO CHEETAH E-RACING DE FORMULA SAE ELETRICO,JULIANA CAMINHA NORONHA,IEPG,23/2/2017,30/1/2018,SIM, R$ -   , R$ -   
