Código,Data Início,Data Fim,TÍTULO DO PROJETO,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador
PIDI404-2023,1/8/2023,31/7/2026,Café para todos: um estudo sobre a disponibilização de dados para apoiar a tomada de decisão no ciclo produtivo do café,Não possui,MELISE MARIA VEIGA DE PAULA,IMC
PVDI406-2023,1/8/2023,31/7/2026,Um estudo da transferência de aprendizado empregando modelos de aprendizado profundo,Não possui,ISABELA NEVES DRUMMOND,IMC
PVDI415-2023,1/8/2023,31/7/2026,Implementação de resultados de Pesquisas em Resolução e Proposição de Problemas: parcerias de coaprendizagem na formação de professores de matemática.,Não possui,FLAVIA SUELI FABIANI MARCATTO,IMC
PIDI392-2023,1/8/2023,31/7/2026,UTILIZAÇÃO DA LIGNINA COMO PLATAFORMA QUÍMICA PARA OBTENÇÃO DE PRODUTOS COM VALOR AGREGADO,Não possui,JOSE RENATO GUIMARAES,IRN
PIDI402-2023,1/8/2023,31/7/2026,Modelagem e simulação por fluidodinâmica computacional do processo de secagem de biomassas,Não possui,MAXIMILIAN JOACHIM HODAPP,IRN
PVDI377-2023,1/8/2023,31/7/2026,Microbiologia aplicada a trilhas ecológicas: bioindicadores e funcionalidade de ecossistemas,Não possui,ROGERIO MELLONI,IRN
PVDI385-2023,1/8/2023,31/7/2026,Qualidade dos Estudos de Impacto Ambiental e a preservação da qualidade ambiental,Não possui,MARIA RITA RAIMUNDO E ALMEIDA,IRN
PVDI399-2023,1/8/2023,31/7/2026,Investigação dos Impactos 3D nos Sistemas Elétricos Brasileiros,Não possui,CLAUDIA ELIANE DA MATTA,ISEE
PVDI426-2023,7/8/2023,7/8/2027,PREVISÃO DE PARÂMETROS ESTRUTURAIS E DE CUSTO DE MODELOS FABRICADOS VIA MANUFATURA ADITIVA POR MEIO DE TÉCNICAS DE DEEP LEARNING,FAPEMIG,MATHEUS BRENDON FRANCISCO,IEPG
PVDI429-2023,5/8/2023,5/8/2027,Produção de H2 Verde em escala de laboratório a partir de sistemas solares FV e Testes Experimentais dual-fuel em motor multicilíndrico usando H2 Verde e HVO (diesel verde) importado e/ou produzido em laboratório,FAPEMIG,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM
PVDI449-2023,11/10/2023,9/10/2026,ESTUDOS EM MECÂNICA CELESTE: CONFIGURAÇÕES CENTRAIS E O PROBLEMA DE N CORPOS,FAPEMIG,Luis Fernando de Osório Mello,IMC
PVDI450-2023,1/3/2023,28/2/2026,Modelos análogos em meios óticos,CNPq,VITORIO ALBERTO DE LORENCI,IFQ
PVDI451-2023,22/8/2023,21/8/2025,Dinâmica e ruptura de bolhas de hidrogênio em microcanais com junções em T e em Y,FAPEMIG,ANA LUCIA FERNANDES DE LIMA E SILVA,IEM
