Código,Data Início,Data Fim,TÍTULO DO PROJETO,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador
PVDI231-2022,16/3/2022,31/3/2025,Valorização energética de biomassa residual para precursores de alto valor energético,CNPq,Diego Mauricio Yepes Maya,IEM
PVDI243-2021,1/3/2021,28/2/2024,DETERMINAÇÃO DE PARÂMETROS DE AGLOMERADOS ABERTOS COM DADOS DO SATÉLITE GAIA,CNPq,WILTON DA SILVA DIAS,IFQ
PVDI226-2022,1/3/2022,28/2/2025,Experimentos de Física controlados remotamente como proposta para uma aprendizagem significativa,CNPq,Mikael Frank Rezende Junior,IFQ
PVDI254-2022,13/3/2022,11/4/2024,Técnicas de Inteligência Artiﬁcial Aplicadas na Análise de Estabilidade de Tensão em Sistemas Elétricos de Potência com Redes Inteligentes,FAPEMIG,BENEDITO ISAIAS LIMA FULY,
,28/3/2022,28/3/2024,Sistema hidro-eletro-mecânico de identificação de infestação de L. fortunei (mexilhão dourado) na sucção de bombas centrifugas - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII” - “EDITAL 002/2018 - PROGRAMA PESQUISADOR MINEIRO - PPM XII”,FAPEMIG,CARLOS BARREIRA MARTINEZ,IEPG
PVDI295-2019,16/10/2019,15/5/2024,DETERMINAÇÃO DOS PARÂMETROS DE CÉLULAS SOLARES: UMA NOVA ABORDAGEM DE AJUSTES PELO MÉTODO DE OTIMIZAÇÃO GLOBAL,FAPEMIG,Adhimar Flávio Oliveira,IFQ
PIDI296-2022,1/3/2022,31/7/2025,Efeitos de vácuo quântico na presença de fontes de campo e potenciais externos,CNPq,Fabricio Augusto Barone Rangel,IFQ
PVDI297-2022,1/7/2022,30/6/2025,Análise numérica e experimental de microgeradores eólicos para aplicações em regiões remotas no Brasil,FAPEMIG,ANGIE LIZETH ESPINOSA SARMIENTO,IEM
PVDI257-2022,1/8/2022,31/7/2024,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia,Não possui,Daniel Thomazini,IEM
PVDI285-2022,1/8/2022,31/7/2024,Produção de compósito cimentício com diferentes adições de óxido de grafeno,Não possui,GEOVANI RODRIGUES,IEM
PVDI284-2022,1/8/2022,31/7/2024,"Metamateriais Elastodinâmicos Projetados para a Atenuação de Vibrações em Estruturas Civis, Mecânicas e Aeronáuticas",Não possui,Jesús Antonio García Sánchez,IEM
PIDI270-2022,1/8/2022,31/7/2024,Avaliação de compósitos de fios trançados submetidos à fadiga torcional,Não possui,RENATA NEVES PENHA,IEM
PIDI279-2022,1/8/2022,31/7/2025,Desenvolvimento de recursos baseados na tecnologia da realidade virtual para formação de alunos dos cursos de engenharia,Não possui,DENISE RANSOLIN SORANSO,IEPG
PVDI238-2022,1/8/2022,31/7/2024,"Recomendações e demonstrações de práticas para melhoria da compreensibilidade, validade e aplicabilidade da modelagem de processos de negócio",Não possui,FABIANO LEAL,IEPG
PIDI250-2022,1/8/2022,31/7/2024,Avaliação de Usabilidade de Sistemas,Não possui,ANA PAULA SIQUEIRA SILVA DE ALMEIDA,IESTI
PVDI275-2022,1/8/2022,31/7/2024,Framework para armazenamento orientados a colunas,Não possui,ENZO SERAPHIM,IESTI
PVDI277-2022,1/8/2022,31/7/2024,Cibersegurança e análise de vulnerabilidades em dispositivos IoT,Não possui,OTÁVIO DE SOUZA MARTINS GOMES,IESTI
PVDI259-2022,1/8/2022,31/7/2024,Aplicação de Workflows Científicos no contexto de Continuum of Computing,Não possui,EDVARD MARTINS DE OLIVEIRA,IESTI
PVDI255-2022,1/8/2022,31/7/2024,"Análise das potencialidades e fragilidades socioambientais em Unidades de Conservação na Mata Atlântica: uso público, indicadores de gestão, percepção ambiental e conflitos.",Não possui,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN
PIDI290-2022,1/8/2022,31/7/2024,USO DA ALPORQUIA NA PROPAGAÇÃO DE ESPÉCIES PARA A RECUPERAÇÃO DE ÁREAS DEGRADADAS,Não possui,HISAIAS DE SOUZA ALMEIDA,IRN
PIDI268-2022,1/8/2022,31/7/2024,Avaliação do potencial energético e viabilidade financeira da instalação de turbinas hidrocinéticas em rios do norte do Brasil,Não possui,IVAN FELIPE SILVA DOS SANTOS,IRN
PVDI252-2022,1/8/2022,31/7/2024,"NEGACIONISMO, EDUCAÇÃO EM CIÊNCIAS E ATUAÇÃO DOCENTE: INVESTIGANDO COMPREENSÕES DE PROFESSORES DE CIÊNCIAS E BIOLOGIA",Não possui,JANAINA ROBERTA DOS SANTOS,IRN
PIDI269-2022,1/8/2022,31/7/2024,Projeto de conforto acústico usando Metamateriais,Não possui,Paulo César Gonçalves,IRN
PIDI271-2022,1/8/2022,31/7/2024,"Revisão taxonômica das espécies de Hapsodrilus (Coleoptera, Elateridae, Pyrophorini)",Não possui,Simone Policena Rosa ,IRN
PVDI233-2022,1/8/2022,31/7/2024,Desenvolvimento de Sistema de Software para Treinamento em Simulador de Helicoptero,Não possui,ALEXANDRE CARLOS BRANDAO RAMOS,IMC
PVDI280-2022,1/8/2022,31/7/2024,Oncologia Matemática,Não possui,Artur César Fassoni,IMC
PIDI278-2022,1/8/2022,31/7/2024,"Jogos Digitais Inclusivos: teorias, métodos e ferramentas de apoio",Não possui,ELISA DE CASSIA SILVA RODRIGUES,IMC
PVDI260-2022,1/8/2022,31/7/2024,Teoria de regularidade para modelos não lineares e problemas de fronteira livre,Não possui,GIANE CASARI RAMPASSO,IMC
PVDI253-2022,1/8/2022,31/7/2024,Invariantes topológicos para o estudo de sistemas integráveis e folheações,Não possui,INGRID SOFIA MEZA SARMIENTO,IMC
PIDI251-2022,1/8/2022,31/7/2024,A dinâmica das órbitas periódicas da ferradura de Smale,Não possui,JUAN VALENTIN MENDOZA MOGOLLON,IMC
PVDI272-2022,1/8/2022,31/7/2025,Estudo de equações do tipo Schrödinger sobre variedades Riemannianas compactas,Não possui,MARCELO APARECIDO CABRAL NOGUEIRA,IMC
PIDI289-2022,1/8/2022,31/7/2024,Otimização Combinatória para Classificação Interpretável,Não possui,PEDRO HENRIQUE DEL BIANCO HOKAMA,IMC
PVDI294-2022,1/8/2022,31/7/2024,Estudo e pesquisa nas equações de Mathieu e de Mathieu modificada,Não possui,Ricardo Iván Medina Bascur,IMC
PIDI239-2022,1/8/2022,31/7/2024,Síntese verde de nanopartículas de dióxido de titânio para aplicação em células solares DSSC,Não possui,Adhimar Flávio Oliveira,IFQ
PVDI242-2022,1/8/2022,31/7/2025,Narrativas sobre mídias digitais e redes sociais: um olhar para a educação científica e o letramento midiático na cultura digital,Não possui,ALESSANDRA RODRIGUES,IFQ
PIDI236-2022,1/8/2022,31/7/2024,O BANCO DE SINAIS USADO COMO FERRAMENTA FACILITADORA NA APRENDIZAGEM PARA ALUNOS OUVINTES NA DISCIPLINA DE LIBRAS,Não possui,ANA CAROLINA SALES OLIVEIRA,IFQ
PVDI237-2022,1/8/2022,31/7/2024,"PROPRIEDADES ELETRÔNICAS DE SEMICONDUTORES ORGÂNICOS, DISPOSITIVOS FLEXÍVEIS E ELETRÔNICOS VESTÍVEIS",Não possui,CARLA PATRICIA LACERDA RUBINGER,IFQ
PVDI288-2022,1/8/2022,31/7/2025,"APLICAÇÃO DA QUÍMICA COMPUTACIONAL AO DESENVOLVIMENTO DE COMPOSTOS POTENCIALMENTE BIOATIVOS: planejamento racional, análise conformacional, docking e dinâmica molecular, QM/MM e investigação de orbitais de fronteira",Não possui,DANIEL HENRIQUES SOARES LEAL,IFQ
PVDI274-2022,1/8/2022,31/7/2024,Novos aceleradores de vulcanização da borracha baseados em complexos metálicos com ligantes ditiocarbimatos,Não possui,EDER DO COUTO TAVARES,IFQ
PIDI256-2022,1/8/2022,31/7/2024,"Cromismo: Estudo computacional de efeitos de misturas de solventes, temperatura e radiação.",Não possui,Juliana Fedoce Lopes,IFQ
PVDI281-2022,1/8/2022,31/7/2024,Evolução química de galáxias,Não possui,OSCAR CAVICHIA DE MORAES,IFQ
PIDI262-2022,1/8/2022,31/7/2024,Fotofísica de moléculas orgânicas,Não possui,ROBERTO SHIGUERU NOBUYASU JUNIOR,IFQ
PVDI235-2022,1/8/2022,31/7/2024,As narrativas dos professores sobre os métodos de ensino e as tramas da crise na educação básica – o ensino médio,Não possui,ROGERIO RODRIGUES,IFQ
PIDI293-2022,1/8/2022,31/7/2024,Estudo das condições de síntese de cargas vítreas do sistema B2O3-Al2O3-SiO2 para aplicações odontológicas.,Não possui,ROSSANO GIMENES,IFQ
PVDI301-2022,1/3/2022,28/2/2025,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio,CNPq,MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM
PVDI300-2022,1/6/2022,31/8/2024,Investigação e caracterização das construções metodológicas de grupos de planejamento conjunto empreendidas por docentes do ensino superior de ciências da natureza,FAPEMIG,JOAO RICARDO NEVES DA SILVA,IFQ
PIDI309-2022,5/8/2022,5/8/2024,Simulação e previsão de vazões para bacias hidrográficas do Estado de Minas Gerais com base em modelo hidrológico distribuído e previsões de modelos atmosféricos,FAPEMIG,BENEDITO CLAUDIO DA SILVA,IFQ
PVDI306-2022,8/8/2022,31/8/2027,Proposta de Apoio à Formação de Mestres para o Fortalecimento do Programa de Pós-graduação em Engenharia Mecânica da UNIFEI,FAPEMIG,SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM
PIDI298-2022,25/6/2022,24/6/2025,COMPÓSITO POLIMÉRICO BIOINSPIRADO NO OURIÇO DA CASTANHA DO PARÁ (BERTHOLLETIA EXCELSA) DE ELEVADA TENACIDADE,FAPEMIG,MARILIA SONEGO,IEM
PIDI311-2023,13/9/2022,12/9/2025,Estudo da texturização a laser na adesão de uma junta híbrida metal-compósito,FAPEMIG,RENATA NEVES PENHA,IEM
PVDI312-2022,16/3/2022,31/3/2025,Ensino de Ciências e Matemática mediado por tecnologias: Um estudo sobre inclusão na microrregião de Itajubá,CNPq,DENISE PEREIRA DE ALCANTARA FERRAZ,IFQ
PVDI314-2023,1/3/2023,28/2/2026,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia: Aspectos Teóricos e Experimentais,FAPEMIG,MARIA VIRGINIA GELFUSO,IEM
PVDI315-2022,13/10/2022,1/1/2026,A Sustentabilidade da Mobilidade Urbana em Cidades Mineiras no Contexto atual e de Pós Pandemia,FAPEMIG,JOSIANE PALMA LIMA,IEPG
"PVDI316-2021
",23/9/2021,22/9/2025,BIG DATA E ANÁLISE ESPACIAL NA INTEGRAÇÃO DA MICROMOBILIDADE E TRANSPORTE PÚBLICO URBANO NO CONTEXTO DE SMART CITIES,B2ML SISTEMAS LTDA,JOSIANE PALMA LIMA,IEPG
PIDI317-2022,9/6/2022,9/6/2025,AVALIAÇÃO TEÓRICO-EXPERIMENTAL DA PRODUÇÃO E USO DE HIDROGÊNIO VERDE EM MINAS GERAIS,FAPEMIG,JOSE CARLOS ESCOBAR PALACIO,IEPG
PVDI328-2022,7/12/2022,31/12/2026,Integração de sistema hibrido Heliotérmico-Biomassa visando o uso de sistemas armazenamento de energia,CNPq,VLADIMIR RAFAEL MELIAN COBAS,IEM
PIDI327-2022,7/12/2022,7/2/2025,Materiais Poliméricos Associados à Lantanídeos: Aplicações em Materiais Inteligentes,FAPEMIG,FREDERICO BARROS DE SOUSA,IFQ
PVDI331-2022,16/12/2022,31/12/2026,Laboratório Nacional para Estudos Micrometeorológicos e Metodológicos Aplicado ao Aproveitamento Energético Offshore (LabWind),CNPq,ARCILAN TREVENZOLI ASSIREU,IRN
PVDI347-2023,1/3/2023,28/2/2026,Investigando a massa de aglomerados abertos com GAIA DR3,CNPq,HEKTOR STHENOS ALVES MONTEIRO,IFQ
PVDI346-2023,11/12/2022,31/12/2026,Projeto de Otimização de Turbina Axial de Ultra Baixa Queda,CNPq,RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM
PVDI348-2021,1/3/2021,28/2/2025,Desenvolvimento de Dispositivos CMOS de Baixo Consumo e Baixa Potência para Aplicações Médicas,CNPq,ROBSON LUIZ MORENO,IESTI
PVDI353-2023,4/7/2022,4/5/2024,Estudo e simulação de módulo de gerenciamento energético para sistema de produção de H2,Instituto GNARUS,ROBSON BAUWELZ GONZATTI,IESTI
PVDI349-2022,1/3/2022,28/2/2025,Pesquisa e Desenvolvimento de um Sistema Integrado de Aquisição de Sinais de EEG em CMOS,CNPq,TALES CLEBER PIMENTA,IESTI
PVDI352-2022,1/3/2022,28/2/2025,GERAÇÃO DE ELETRICIDADE A PARTIR DA GASEIFICAÇÃO DE LODO SANITÁRIO E ENERGIA SOLAR TÉRMICA,CNPq,Osvaldo José Venturini,IEM
PVDI345-2022,13/10/2022,13/10/2024,Investigação das propriedades elétricas e magnéticas de materiais avançados para desenvolvimento de dispositivos spintrônicos para tecnologia da informação quântica,FINEP,MARCELOS LIMA PERES,IFQ
PVDI358-2022,18/11/2022,17/11/2025,Monitoramento da integridade estrutural: detecção e identificação de delaminações em estruturas aeronáuticas por meio decorrelação digital de imagens,CNPq,GUILHERME FERREIRA GOMES,IEM
PVDI359-2023,1/3/2023,28/2/2026,Técnicas Avançadas de Otimização Mono e Multiobjetivo Aplicadas ao Projeto de Estruturas Mecânica,CNPq,GUILHERME FERREIRA GOMES,IEM
PVDI369-2023,1/3/2023,28/2/2026,Reciclagem do aço Vanadis 8 pelo processo de metalurgia do pó utilizando a moagem de alta energia,CNPq,GILBERT SILVA,IEM
PVDI378-2023,1/3/2023,28/2/2026,Modelos análogos da gravitação e ondas gravitacionais,CNPq,EDUARDO HENRIQUE SILVA BITTENCOURT,IFQ
PVDI381-2023,1/3/2023,28/2/2027,Logística e Transportes: Da Sustentabilidade para a Economia Circular,CNPq,RENATO DA SILVA LIMA,IEPG
PIDI382-2020,1/3/2021,28/2/2024,Análise Econômica de Decisões e de Risco na seleção de projetos de geração de energia renovável na matriz de energia elétrica brasileira,CNPq,EDSON DE OLIVEIRA PAMPLONA,IEPG
PVDI386-2022,6/12/2022,31/12/2025,Desenvolvimento de materiais e processos para impressão 3D de peças em compósito fibra de carbono contínuo/termoplástico de qualidade aeronáutica,CNPq,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM
PIDI391-2023,1/3/2023,28/2/2027,"IMPACTOS DA BIOINCRUSTAÇÃO DE Limnoperna fortunei (DUNKER, 1857) NA GERAÇÃO HIDRELÉTRICA BRASILEIRA",CNPq,CARLOS BARREIRA MARTINEZ,IEM
PVDI361-2023,1/6/2023,31/5/2026,Análise de viabilidade de projeto e implementação de processadores RISC-V em FPGA,Não possui,GUSTAVO DELLA COLLETTA,IESTI
PVDI363-2023,1/6/2023,31/5/2026,"Estudo e implementação de balanceamento ""sensorless"" das tensões de submódulos em topologias modulares multiníveis",Não possui,WILSON CÉSAR SANT`ANA,IESTI
PVDI368-2023,1/6/2023,31/5/2026,Desenvolvimento de sistemas de modulação com alta eficiência para comunicações de longas distâncias,Não possui,DECIO RENNO DE MENDONCA FARIA,IESTI
PIDI372-2023,1/6/2023,31/5/2026,Investigação de limites teóricos na multiplicação de matrizes com enfoque em geometria algébrica e aprendizado de máquina,Não possui,RICK ANTONIO RISCHTER,IMC
PIDI374-2023,1/6/2023,31/5/2026,Avaliação de risco ambiental de contaminantes presentes na água e no solo: Uma abordagem integrativa e ecologicamente relevante,Não possui,DANIEL CLEMENTE VIEIRA REGO DA SILVA,IRN
PVDI408-2022,20/9/2022,22/9/2025,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio - APQ 01318-22,FAPEMIG,MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM
