Número de registro na DPI ,Título do Projeto,Data de Registro,Início da vigência,Témino da vigência,Status,Órgão Financiador, Recursos Internos , Recursos Externos ,Bolsa Pesquisa,Mestrado/Doutorado,IC,Participação     Inicio e fim,Coordenador,Instituto Vinculado,Observações,Nota de mérito (projetos sem financiamento externo)
Atualização em 12-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
336,Desenvolvimento e análise de algoritmos para tratamento de falhas no controle de processos químicos,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Thiago Vaz da Costa,IRN,Relatório final entregue em 07/05/2018  // Arquivado CAIXA 01/2020,"9,37"
337,Desenvolvimento modelos e técnicas para monitoração e diagnóstico termodinâmico de usinas e sistemas térmicos,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Osvaldo José Venturini,IEM,Relatório final entregue em 23/04/2019  // Arquivado CAIXA 001/2020,"8,5"
338,Determinação de Hidrocarbonetos Policíclicos Aromáticos em matrizes ambientais,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Flávio Soares Silva,IFQ,Relatório final entregue em 18/04/18 // Arquivado CAIXA 01/2020,"8,15"
339,Determinação e remoção de hormônios em águas superficiais,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Sandro José de Andrade,IFQ,Relatorio final entregue 01/12/2017 // Arquivado CAIXA 01/2020,"8,9"
340,Dinâmica em baixas dimensões: fluxos geométricos de lorenz e suas aplicações.,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,José Humberto Bravo Vidarte,IMC,Relatório Final Aprovado em 30/09/2020,"9,22"
341,Estimativa do uso de cocaína no sul do estado de Minas Gerais a partir da determinação de metabólitos da droga em esgoto doméstico.,24/6/2015,jul/15,jun/17,Expirado,,,,,,,07/2015 a 06/2017,Sandro José de Andrade,IFQ,Relatorio final entregue em 01/12/2017 // Arquivado CAIXA 01/2020,"8,3"
342,Estruturas de seção mista madeira-concreto: Uma alternativa sustentável,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Paulo Cesar Gonçalves,IRN,Alteração em Registro de Pesquisa dia 13/07/2016. Memorando nº 572/2016 - IRN/Relatório final entregue em 20/11/2017 // Arquivado CAIXA 01/2020,"6,35"
343,Estudo de alternativas de reúso de água cinza em edificações,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Marcia Viana Lisboa Martins,IRN,Alteração em Registro de Pesquisa dia 13/07/2016. Memorando nº 563/2016 - IRN/Relatório final entregue  // Arquivado CAIXA 001/2020,"9,05"
344,Estudo de materiais sólidos aplicáveis à termoacumulação,24/6/2015,ago/15,jul/16,Expirado,,,,,,,08/2015 a 07/2016,Valquíria Claret dos Santos,IRN,RELATORIO ENTREGUE 01/02/2017 // Arquivado CAIXA 01/2020,"8,72"
345,Estudo Sobre A Formação Inicial E Continuada De Professores De Ciências Para Uma Prática Pedagógica Inclusiva,24/6/2015,jun/15,dez/17,Expirado,,,,,,,06/2015 a 12/2017,Paloma Alinne Alves Rodrigues Ruas,IFQ,Prorrogado no dia 13/02/2017 de junho 2017 para dezembro 2017. Relatorio Final entregue em 18/04/2018. // Arquivado CAIXA 01/2020,"9,07"
346,Experimentação no ensino de Biologia: por uma aprendizagem efetiva,24/6/2015,ago/15,ago/16,Expirado,,,,,,1,08/2015 a 08/2016,Andreia Arantes Borges,IRN,CANCELADO POR EMAIL DIA 20/10/2015 // Arquivado CAIXA 01/2020,"8,18"
347,Exposição à vibração de corpo-inteiro: Avaliação em atividades de um serviço público,24/6/2015,ago/15,ago/16,Expirado,,,,,,,08/2015 a 08/2016,Luiz Felipe Silva,IRN,Relatório entregue em novembro/2018. RELATÓRIO REPROVADO PELO DIRETOR,"7,8"
348,Física Moderna na formação de engenheiros: histórico e perspectivas,24/6/2015,ago/15,jul/17,Expirado,,,,,,,08/2015 a 07/2017,Mikael Frank Rezende Junior,IFQ,Relatorio final entregue em 13/12/2017.  // Arquivado CAIXA 001/2020,"8,4"
349,Fungos micorrízicosarbusculares e bactérias rizosféricas na produção de mudas de oliveiras (OleaEuropaea L.) cultivadas no sul de minas gerais,24/6/2015,abr/15,dez/17,Expirado,FAPEMIG,," R$ 20.370,00 ",,,2,04/2015 a 10/2017,Rogério Melloni,IRN,"Prorrogado para Outubro, segundo determinação  Dr. Gilbert/Relatorio final entregue // Arquivado CAIXA 01/2020","7,21"
350,Imageamento de aglomerados abertos no observatório do pico dos dias - LNA/MACTI,24/6/2015,ago/15,ago/17,Expirado,,,,,,,08/2015 a 08/2017,Wilton da Silva Dias,IFQ,Relatório FINAL entregue em NOVEMBRO/2017  // Arquivado CAIXA 01/2020,9
351,Implementação de um código de simulação numérica da dinâmica de vôo de helicópteros,24/6/2015,ago/15,ago/16,Expirado,,,,,,,08/2015 a 07/2016,Marcelo Santiago de Sousa,IEM,Relatório final entregue por e-mail dia 19/08/2016  // Arquivado CAIXA 001/2020,"9,57"
