N�;Nome do Projeto;In��cio;T�mino;Status;�rg�o Financiador;Recursos Internos ;Recursos Externos ;Participa��o     Inicio e fim;Equipe;Instituto Vinculado;Cargo (Aluno/ Coordenador/ Professor);Carga Hor�ria;Observa��es;Nota;;
2;Equipe Uai!rrior de robótica;01/02/2010;01/01/2011;Expirado;;;;02/2010 a 01/2011;Tales Cleber Pimenta;IESTI;Coordenador;;Arquivado Caixa A;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Alison Henrique El Khouri Bessa - 15895;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Álvaro Ferreira Santiago - 14384;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Bruno Cajueiro Toffolo - 15797;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Bruno Eduardo Barbosa Gorini - 16945;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Carlos Alberto de C. Tirelli - 19789;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Diego Gustavo Peres Geraldo - 14554;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Diego Ribeiro Mira - 15789;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Expedito José de Barros Junior - 16955;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Felipe Gianotti Cardoso de Lima - 14560;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Felipe Oliveira e Silva - 15764;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Gabriel Nogueira Barsley Holland - 15768;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Gilberto Junior Sales - 15923;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Helton Franco de Sousa - 18711;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Larissa Leme Resende - 14404;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Lucas Carvelho de Sousa - 15839;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Luisa Leme Resende - 14404;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Luís Fernando Cabrera Cunha - 18946;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Matheus Marques Barbosa - 18990;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Murilo Castanho Marian - 19069;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Rafael Alves Pizzi - 13841;;Discente;2;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Renan Neves Nascimento - 15884;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Renan Rosa Martines - 16980;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Thales Eduardo NIcoleti - 18972;;Discente;4;;;;
2;Equipe Uai!rrior;01/02/2010;01/01/2011;;;;;02/2010 a 01/2011;Yuri Claus Moreeuw Fernandes - 19006;;Discente;4;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;Expirado;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Claudio Kirner;IMC;Coordenador;12;Arquivado Caixa A;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Edison Oliveira de Jesus;IMC;Docente;8;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Isabela Neves Drummond;IMC;Docente;8;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Roberto Claudino da Silva;IMC;Docente;8;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Roberto Affonso da Costa Júnior;IMC;Docente;8;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Tereza Gonçalves Kirner;IMC;Docente;8;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Aryele Carneiro Oliveira, 16819;;Discente;20;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Christopher Shneider Cerqueira ;;Docente;40;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Eduardo Shiwaku Okama, 17308;;Discente;20;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Fabrício Santos Flauzino, 17313;;Discente;20;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Luana Braga da Silva, 16836;;Discente;20;;;;
3;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia - ATIRA - MCT;01/06/2010;01/05/2012;;CNPq e FAPEMIG;R$ 0,00;R$ 124.020,00;06/2010 a 05/2012;Thatiane Azevedo Sugiyama, 16852;;Discente;20;;;;
4;Reflexões sobre a Ideia de Desenvolvimento: Construção do Estado da Arte;01/08/2010;01/08/2011;Expirado;;R$ 0,00;;08/2010 a 08/2011;Carlos Alberto Máximo Pimenta;IEPG;Coordenador;4;Arquivado Caixa A                  ;;;
4;Reflexões sobre a Ideia de Desenvolvimento: Construção do Estado da Arte;01/08/2010;01/08/2011;;;R$ 0,00;;08/2010 a 08/2011;Jéssica dos Santos Valin, 15662;;Discente;8;;;;
4;Reflexões sobre a Ideia de Desenvolvimento: Construção do Estado da Arte;01/08/2010;01/08/2011;;;R$ 0,00;;08/2010 a 08/2011;Mayara Arci Rezeck, 15671;;Discente;8;;;;
4;Reflexões sobre a Ideia de Desenvolvimento: Construção do Estado da Arte;01/08/2010;01/08/2011;;;R$ 0,00;;08/2010 a 08/2011;Adilson da Silva Mello;IEPG;Docente;4;;;;
5;Tecnologias para suporte ao processo de negociação;01/08/2010;01/07/2012;Expirado;;R$ 0,00;;08/2010 a 07/2012;Melise Maria Veiga de Paula;IMC;Coordenador;12;Arquivado Caixa A  ;;;
5;Tecnologias para suporte ao processo de negociação;01/08/2010;01/07/2012;;;;;05/2011 a 03/2012;André Luis G. Lavora, 14253;;Discente;12;;;;
5;Tecnologias para suporte ao processo de negociação;01/08/2010;01/07/2012;;;;;08/2010 a 01/2011;Alessandro Rodrigo Pereira Dias, 17295;;Discente;4;;;;
5;Tecnologias para suporte ao processo de negociação;01/08/2010;01/07/2012;;;;;08/2010 a 04/2011;Fabrício Santos Flauzino, 17313;;Discente;12;;;;
5;Tecnologias para suporte ao processo de negociação;01/08/2010;01/07/2012;;;R$ 0,00;;01/2012 a 06/2012;Bárbara Pimenta Caetano;;Discente;10;;;;
6;Implementação de um sistema de acionamento tiristorizado para viabilização de um grupo conversor rotativo 35[KVA], para os laboratórios didáticos da UNIFEI;01/11/2010;01/11/2011;Expirado;;R$ 0,00;;11/2010 a 11/2011;Angelo José Junqueira Rezek;ISEE;Coordenador;3;Arquivado Caixa A  ;;;
6;Implementação de um sistema de acionamento tiristorizado para viabilização de um grupo conversor rotativo 35[KVA], para os laboratórios didáticos da UNIFEI;01/11/2010;01/11/2011;;;R$ 0,00;;11/2010 a 11/2011;César M. Shigematsu Nakashima;;Discente;8;;;;
6;Implementação de um sistema de acionamento tiristorizado para viabilização de um grupo conversor rotativo 35[KVA], para os laboratórios didáticos da UNIFEI;01/11/2010;01/11/2011;;;R$ 0,00;;11/2010 a 11/2011;Vagner Yuji Nishimura;;Discente;8;;;;
7;Determinação da dureza de aços auxiliada pelo processamento digital de imagens;01/11/2010;01/10/2011;Expirado;;R$ 0,00;;11/2010 a 10/2011;Daniel Thomazini ;IEM;Coordenador;;Arquivado Caixa A;;;
7;Determinação da dureza de aços auxiliada pelo processamento digital de imagens;01/11/2010;01/10/2011;;;R$ 0,00;;11/2010 a 10/2011;Mario Marco Bellavenuto Gallardo, 19067;;Discente;12;;;;
8;Estudo das Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;Expirado;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Rero Marques Rubinger;IFQ;Coordenador;5;Arquivado Caixa A;;;
8;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/11/2010;01/11/2012;;FAPEMIG;R$ 0,00;R$ 49.907,21;11/2010 a 11/2012;Carla Patricia Lacerda Rubinger;IFQ;Docente;5;;;;
