Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
777,18/12/2018,17/05/2026,Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ,Projeto com financiamento externo,FAPEMIG,MARCELO DE PAULA CORREA,IRN ,Vigente
796,01/01/2019,30/09/0205,Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental,Projeto com financiamento externo,FAPEMIG,JESUS ANTONIO GARCIA SANCHEZ,IEM,Expirado
PVDI120-2020,01/11/2020,06/05/2026,Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce,Projeto com financiamento externo,FAPEMIG,ARCILAN TREVENZOLI ASSIREU,IRN,Vigente
PVDI201-2021,01/03/2021,28/02/2026,Monitoramento de processos e Inspeção por amostragm,Projeto com financiamento externo,CNPq,ANTONIO FERNANDO BRANCO COSTA,IEPG,Vigente
PVDI209-2021,01/07/2021,24/11/2025,LOGÍSTICA E TRANSPORTES NO CONTEXTO DO GREEN SUPPLY CHAIN MANAGEMENT E ECONOMIA CIRCULAR,Projeto com financiamento externo,FAPEMIG,RENATO DA SILVA LIMA,IEPG,Expirado
PIDI211-2021,27/10/2021,15/07/2026,Efeito da temperatura e do campo magnético sobre o comportamento dinâmico de vigas sanduíche com núcleo colmeia preenchida por elastômero magneto reológico,Projeto com financiamento externo,FAPEMIG,Felipe de Souza Eloy,IEM,Vigente
PVDI228-2022,01/03/2022,31/08/2025,Impactos e consequências das projeções climáticas oriundas dos novos modelos climáticos na produtividade do Eucalyptus sp. no Brasil,Projeto com financiamento externo,CNPq,Fabrina Bolzan Martins,IRN,Expirado
PIDI296-2022,01/03/2022,31/07/2025,Efeitos de vácuo quântico na presença de fontes de campo e potenciais externos,Projeto com financiamento externo,CNPq,Fabricio Augusto Barone Rangel,IFQ,Expirado
PIDI279-2022,01/08/2022,31/07/2025,Desenvolvimento de recursos baseados na tecnologia da realidade virtual para formação de alunos dos cursos de engenharia,Projeto sem financiamento externo,Não possui,DENISE RANSOLIN SORANSO,IEPG,Expirado
PVDI255-2022,01/08/2022,31/07/2025,"Análise das potencialidades e fragilidades socioambientais em Unidades de Conservação na Mata Atlântica: uso público, indicadores de gestão, percepção ambiental e conflitos.",Projeto sem financiamento externo,Não possui,DANIELA ROCHA TEIXEIRA RIONDET COSTA,IRN,Expirado
PVDI272-2022,01/08/2022,31/07/2025,Estudo de equações do tipo Schrödinger sobre variedades Riemannianas compactas,Projeto sem financiamento externo,Não possui,MARCELO APARECIDO CABRAL NOGUEIRA,IMC,Expirado
PVDI242-2022,01/08/2022,31/07/2025,Narrativas sobre mídias digitais e redes sociais: um olhar para a educação científica e o letramento midiático na cultura digital,Projeto sem financiamento externo,Não possui,ALESSANDRA RODRIGUES,IFQ,Expirado
