Número de registro na DPI ;Título do Projeto;Data de Registro;Início da vigência;Témino da vigência;Status;Órgão Financiador; Recursos Internos ; Recursos Externos ;Bolsa Pesquisa;Mestrado/Doutorado;IC;Participação     Inicio e fim;Coordenador;Instituto Vinculado;Observações;Nota de mérito (projetos sem financiamento externo)
742;Preparação e caracterização de amostras cerâmicas contendo nióbio e alumínio dopadas com TiO2;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2020;Adhimar Oliveira;IFQ;;7,5
743;DEGRADAÇÃO DE EFLUENTES CONTENDO BTX PELO PROCESSO FENTON EMPREGANDO REATOR DE FLUXO ASCENDENTE;Edital 005/2018;fev/19;fev/21;Vigente;sem financiamento externo;;;;;;02/2019 à 02/2021;Rossano Gimenes;IFQ;;8
744;Síntese, caracterização e avaliação do potencial antineoplásico de novos derivados terpenóides: potenciais inibidores da via do mevalonato;Edital 005/2018;dez/18;dez/20;Vigente;sem financiamento externo;;;;;;12/2018 à 12/2020;Mauricio Frota Saraiva;IFQ;;8
745;Os artigos em História da Ciência da revista Ciência Hoje como recurso didático para o Ensino de Ciências: potencialidades, limites e dificuldades;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2020;Evandro Fortes Rozentalski;IFQ;;9
746;"SÍNTESE E CARACTERIZAÇÃO DE NOVOS COMPLEXOS HETEROLÉPTICOS DE Zn(II), Ni(II) E Sr(II) COM LIGANTES  DITIOCARBIMATOS E PIRIDINICOS COMO POTENCIAIS ACELERADORES DA VULCANIZAÇÃO DA BORRACHA  ";Edital 005/2018;mar/19;mar/20;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2020;Eder do Couto Tavares;IFQ;;8,13
747;Síntese e caracterização de redes metalorgânicas baseadas em ferro;Edital 005/2018;mar/19;fev/21;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2021;Geise Ribeiro;IFQ;;6,63
748;Efeito da têmpera interrompida na tenacidade à fratura da liga AA6351;Edital 005/2018;jan/19;dez/19;Vigente;sem financiamento externo;;;;;;01/2019 à 12/2019;Renata Neves Penha;IEM;;8,38
751;ESTUDO DA INFLUÊNCIA DA POROSIDADE NAS CONSTANTES ELÁSTICAS DE MATERIAIS COMPÓSITOS USANDO ONDAS ULTRASSÔNICAS;Edital 005/2018;dez/18;nov/20;Vigente;sem financiamento externo;;;;;;12/2018 a 11/2020;Paulo Pereira Junior;IEM;;8,25
752;PROJETO DE DISSIPADORES DINÂMICOS UTILIZANDO METAMATERIAIS ;13/05/2019;jan/19;dez/21;Vigente;CNPq;; R$ 20.000,000 ;;;;01/2019 A 12/2021;Jesús Antonio García Sánchez;IEM;Projeto a princípio registrado por meio do Edital 005/2018 e após submetido ao CNPq e portanto passou a ser considerado a partir de 05/2019 projeto com financiamento;9,25
753;DESENVOLVIMENTO DE COMPONENTES DE UMA PRÓTESE DE JOELHO MAGNETO REOLÓGICA ATIVA;Edital 005/2018;fev/19;jan/22;Vigente;sem financiamento externo;;;;;;02/2019 à 01/2022;Felipe de Souza Eloy;IEM;;9,25
754;BIOCONSTRUÇÃO: SISTEMAS SUSTENTÁVEIS E EFICIENTES;Edital 005/2018;mar/19;fev/21;Vigente;sem financiamento externo;;;;;;03/2019 a 02/2021;Angie Lizeth Espinosa Sarmiento;IEM;;8,38
755;ENTRE O CÉU E O INFERNO: COMPREENDENDO AS NARRATIVAS DISCURSIVAS DE MULHERES DOCENTES DO ENSINO SUPERIOR E OS PROCESSOS DE ADOECIMENTO DECORRENTES DO TRABALHO ACADÊMICO ;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 a 02/2020;Isabel Cristina da Silva Arantes ;IEPG;;6,88
756;"Simulação de dispositivos com índice de refração negativo para obter lentes com resolução abaixo do índice de refração";Edital 005/2018;fev/19;dez/19;Vigente;sem financiamento externo;;;;;;02/2019 a 12/2019;Mateus Augusto Faustino Chaib Junqueira;IESTI;;7,63
757;Desenvolvimento de plataforma embarcada para IoT com sistemas de tempo real;Edital 005/2018;jan/19;dez/21;Vigente;sem financiamento externo;;;;;;01/2019 a 12/2021;Rodrigo Maximiano Antunes de Almeida;IESTI;;10
758;Introdução à Teoria Ergódica e Sistemas Dinâmicos Caóticos;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2020;Fernando Pereira Micena;IMC;;10
759;Modelagem matemática para elucidar o potencial de redução de dose de Inibidores de Tirosina-Quinase no tratamento de Leucemia Mieloide Crônica;Edital 005/2018;mar/19;fev/21;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2021;Artur César Fassoni;IMC;;10
760;Deformação e Alinhamento Modelo-Imagem Aplicado ao Reconhecimento de Estruturas Biológicas em Imagens Microscópicas;Edital 005/2018;jan/19;dez/20;Vigente;sem financiamento externo;;;;;;01/2019 à 12/2020;Elisa de Cássia Silva Rodrigues;IMC;;6,38
761;"Ambiente Computacional de Análise de Padrões Gradientes
";Edital 005/2018;fev/19;fev/20;Vigente;sem financiamento externo;;;;;;02/2019 a 02/2020;Roberto Affonso da Costa Junior;IMC;;6,75
763;Caracterização Metalográfica de Ligas de Al submetidas a diferentes Ataques Químicos;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 a 02/2020;Márcia Regina Baldissera Rodrigues;IRN;;8,75
764;Telhados verdes para o controle de odores de esgotos;Edital 005/2018;mar/19;fev/21;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2021;HERLANE COSTA CALHEIROS;IRN;;6,88
765;ESTUDO DA SECAGEM DE RESÍDUO DE AÇAÍ E EXTRAÇÃO DE ÓLEO;Edital 005/2018;mar/19;fev/21;Vigente;sem financiamento externo;;;;;;;Hugo Perazzini;IRN;;8,88
766;Uso de Metamateriais para o Projeto de reforço do Concreto;Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 a 02/2020;Paulo Cesar Gonçalves;IRN;EDITAL 005/2018;7,63
767;"Higiene do Trabalho – Avaliação de Riscos Químicos presentes na Universidade Federal de Itajubá (UNIFEI)
";Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 à 02/2020;Eduarda Cristina de Matos Camargo;IRN;;8,25
768;ESTUDO PRÁTICO, APLICÁVEL NA INDÚSTRIA, DE SOLUÇÕES PARA O PROBLEMA DE QUEDA DE TENSÃO QUANDO DA UTILIZAÇÃO DE CONVERSOR DUAL NA OCORRÊNCIA DE FRENAGEM REGENERATIVA.;Edital 005/2018;fev/19;fev/21;Vigente;sem financiamento externo;;;;;;02/2019 a 02/2021;Angelo José Junqueira Rezek;ISEE;;9,5
769;Avaliação da Suportabilidade de Componentes de Redes Compactas Frente ao Envelhecimento;Edital 005/2018;fev/19;fev/20;Vigente;sem financiamento externo;;;;;;02/2019 à 02/2020;Gustavo Paiva Lopes;ISEE;;9,5
770;Transferência do conhecimento na relação universidade-indústria-governo: o papel da universidade na inovação e empreendedorismo  ;Edital 005/2018;jan/19;dez/20;Vigente;sem financiamento externo;;;;;;01/2019 à 12/2020;Sandra Miranda Neves;IEPG;;7
771;A educação ambiental e a psicologia histórico-cultural: uma aproximação necessária;Edital 005/2018;jan/19;dez/20;Vigente;sem financiamento externo;;;;;;01/2019 à 12/2020;Marcela de Moraes Agudo;IRN;;10
772;Melhorando o raciocínio matemático dos alunos da Educação Básica: ações de futuros professores.;Edital 005/2018;fev/19;jan/21;Vigente;sem financiamento externo;;;;;;02/2019 à 01/2021;Flávia Sueli Fabiani Marcatto;IMC;;8,63
773;"Estudo de materiais sólidos aplicáveis no concreto ou argamassa auto adensável

";Edital 005/2018;mar/19;fev/20;Vigente;sem financiamento externo;;;;;;03/2019 a 02/2020;Valquíria Claret dos Santos;IRN;EDITAL 005/2018;8,63
774;Geometria Algébrixa Clássica, Moderna e Aplicada ;Demanda Universal - FAPEMIG ;mar/18;fev/21;Vigente;FAPEMIG  ;; R$ 26.718,35 ;;;;03/2018 a 02/2021;Rick Antônio Rischter;IMC;;
775;Aspeculiaridades de cidades do sul de Minas Gerais para a construção da mobilidade urbana sustentavel ;Demanda Universal - FAPEMIG ;dez/18;dez/21;Vigente;FAPEMIG  ;; R$ 46.798,40 ;;;;12/2018 a 12/2021;Josiane Palma Lima;IEPG;;
776;Microbiologia da agregação de solo de pastagem sob diferentes niveis de degradação ;Demanda Universal - FAPEMIG ;jan/18;jan/20;Vigente;FAPEMIG  ;; R$ 15.225,00 ;;;;01/2018 a 01/2020;Rogerio Melloni ;IRN ;;
777;Desenvolvimento de um modelo simplificado de estimativa de radiação solar para aplicações em modelos de produtividade agricola ;Demanda Universal - FAPEMIG ;dez/18;dez/20;Vigente;FAPEMIG;; R$ 69.678,00 ;;;;12/2018 a 12/2020;Marcelo de Paula Corrêa;IRN ;;
778;Dinâmica dos processos atmosféricos relacionados à distribuição da camada de ozônio, radiação UV e aerossóis entre as regiões Antartica e Equatorial da América do Sul e conexões associadas ;Chamada Universal - CNPq;nov/18;nov/22;Vigente;CNPq;; R$ 1.391.866,80 ;;;;11/2018 a 11/2022;Marcelo de Paula Corrêa;IRN;Email enviado com comunicação do CNPq informando que não pagará o recurso;
779;Estudo de configurações centrais e soluções homográficas em mecânica celeste;Demanda Universal - FAPEMIG ;nov/18;nov/21;Vigente;FAPEMIG  ;; R$ 32.025,00 ;;;;11/2018 à 11/2021;Antonio Carlos Fernandes ;IMC ;;
780;Configurações centrais em mecânica celeste;Demanda Universal CNPq;fev/19;fev/22;Vigente;CNPq ;; R$ 25.000,00 ;;;;02/2019 à 02/2022;Antonio Carlos Fernandes ;IMC;;
781;Detecção e Identificação de danos estruturais o por meio de inteligência computacional ;Demanda Universal - FAPEMIG ;dez/18;dez/20;Vigente;FAPEMIG  ;; R$ 21.630,00 ;;;;12/2018 à 12/2020;Guilherme Ferreira Gomes;IEM;;
782;Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ;Demanda Universal - FAPEMIG ;mar/18;mar/21;Vigente;FAPEMIG  ;; R$ 40.677,00 ;;;;03/2018 à 03/2021;José Arnaldo Barra Montevechi;IEPG;;
783;Modelagem termodinâmica e experimentos críticos no sistema Ta-Ge-B;Demanda Universal - FAPEMIG ;jan/19;jan/22;Vigente;FAPEMIG  ;; R$ 21.525,00 ;;;;01/2019 à 01/2022;Antonio Augusto Araújo Pinto da Silva;IEM;;
784;Polímeros Epoxidicos Para Aplicações Cardiológicas e Oncológicas;Demanda Universal - FAPEMIG ;jan/16;jan/21;Vigente;FAPEMIG  ;; R$ 72.302,82 ;;;;01/2019 à 01/2021;Filiberto Gonzalez Garcia ;IFQ;;
785;Caracterização das propriedades elétricas e físicas das tempestadesna região sudeste do Brasil ;Demanda Universal - FAPEMIG ;fev/19;fev/22;Vigente;FAPEMIG  ;; R$ 24.743,25 ;;;;02/2019 à 02/2022;Enrique Vieira Mattos;IRN;;
786;Um sistema integrado de aquisição e sinais de EEG de baixa tensão e baixa potência em CMOS ;Demanda Universal - FAPEMIG ;fev/19;jan/22;Vigente;FAPEMIG  ;; R$ 39.600,00 ;;;;02/2019 à 01/2022;Tales Cleber Pimenta;IESTI;;
787;Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ;CNPq;fev/19;fev/22;Vigente;CNPq;; R$ 35.000,00 ;;;;02/2019 a 02/2022;José Arnaldo Barra Montevechi;IEPG;;
788;A análise de eficiência como ferramenta de auxílio a tomada de decisão ;FAPEMIG  ;mar/18;fev/21;Vigente;FAPEMIG  ;; R$ 54.000,00 ;;;;03/2018 a 02/2021;Rafael Coradi Leme ;IEPG;;
789;Validação, otimização e usabilidade de simulação a eventos discretos aplicados na industria ;CNPq;mar/18;fev/21;Vigente;CNPq;; R$ 39.600,00 ;;;;03/2018 a 02/2021;Rafael Coradi Leme ;IEPG;;
790;Evolução química do disco e bojo de galáxias espirais;Demanda Universal - FAPEMIG ;dez/18;dez/20;Vigente;FAPEMIG  ;; R$ 17.503,50 ;;;;12/2018  a 12/2020;Oscar Cavichia de Moraes;IFQ;;
791;Desenvolvimentoe aplicação de técnicas ultrassõnicas para inspeção de componentes mecânicos e caracterização de materiais;FAPEMIG  ;dez/18;nov/21;Vigente;FAPEMIG  ;; R$ 13.650,00 ;;;;12/2018 a 11/2021;Paulo Pereira Junior;IEM;;
792;Estudo Teórico-Experimental em Transferência de Calor em ênfase no Desenvolvimento de Técnicas de Problemas Inversos;Demanda Universal - FAPEMIG ;jan/19;jan/21;Vigente;FAPEMIG  ;; R$ 50.610,00 ;;;;01/2019 a 01/2021;Sando Metrevelle Marcondes de Lima e Silva;IEM;;
793;Caracterização de Materiais e Dispositivos Semicondutores - CNPq -306049/2007-4;CNPq;abr/18;mar/20;Vigente;CNPq;; R$ 39.600,00 ;;;;04/2018 a 03/2020;Rero Marques Rubinger;IFQ;;
794;Geração de Eletricidade em Sistema Híbrido usando energia Heliotérmica , Biomassa e Borra de Petróleo ( CNPq -Nº311651/2018-6);CNPq;mar/19;fev/22;Vigente;CNPq;; R$ 39.600,00 ;;;;03/2019 a 02/2022;Osvaldo José Venturini;IEM;;
795;Gerenciamento de riscos em sistemas de Gestão da qualidade NBR ISSO 13485:2016 de empresas do Setor de equipamentos eletrodomésticos;CNPq;mar/19;fev/21;Vigente;CNPq;; R$ 39.600,00 ;;;;03/2019 à 02/2021;Carlos Eduardo Sanches da Silva;IEPG;;
796;Otimização mecânica e acústica de um ventilador sem pás utilizando análises numérica e experimental;;jan/19;dez/22;Vigente;FAPEMIG;; R$ 23.100,00 ;;;;01/2019 a 12/2021;Jesus Antonio Garcia Sanchez ;IEM;;
797;Monitoramento de Processos;;mai/19;dez/20;Vigente;CNPq;; R$ 66.000,00 ;;;;05/2019 a 12/2020;Antonio Fernando Branco Costa;IEPG;;
798;"Impacto da Infestação de ""LimNoperna Fortunei"" na Micro Geração Hedrelétrica Brasileira";;mar/19;fev/23;Vigente;CNPq;; 25.800,00 ; 1 PQ 1B ;;;03/2019 a 02/2023;Carlos Barreira Martinez;IEM;;
799;Estudo eletrônico e estrutural de complexos de coordenação com propriedades fotocrômicas;;dez/18;dez/21;Vigente;CNPq;; 10.000,00 ; 39.600,00 ;;;12/2018 a 12/2021;Frederico Barros de Sousa;IFQ;;
800;Tratamento de resíduos sólidos indutriais: secagem de resíduos de açaí;;dez/18;dez/20;Vigente;FAPEMIG;; 5.670,00 ;;;;12/2018 a 12/2020;Hugo Perazzini;IRN;;
801;Estudo de nebulosas planetárias e aglomerados abertos com uso de otimização global;;mar/17;fev/20;Vigente;CNPq;; 39.600,00 ;1;;;03/2019 a 02/2020;Hektor Sthenos Alves Monteiro;IFQ;;
802;Efeito do teor de ferro e das taxas de resfriamento na microestrutura e nas propriedades mecanicas de ligas Al-Si-Cu-Mg;;mar/19;fev/21;Vigente;CNPq;; 39.600,00 ;1PQ;;;03/2019 a 02/2021;Mirian de Lourdes Noronha Motta Melo;IEM;;
803;Produção e avaliação da microestrutura e das propriedades mecanicas de metais duros ;;mai/19;abr/22;Vigente;CNPq;;;1PQ;;;05/2019 a 04/2022;Edmilson Otoni Correa;IEM;;
804;Um sistema de apoio a diagnóstico de TEA baseado em imagens de ressonância magnética e aprendizado de máquina;;dez/18;dez/22;Vigente;FAPEMIG;; 70,323,00 ;2;;;12/2018 a 12/2022;"Guilherme Sousa Bastos
";IESTI;;
805;Metodologia de Projeto do Lean Office para Instituição de Ensino Superior Federal;;mai/19;mai/22;Vigente;FAMPEMIG;; 24.000,00 ;;;;05/2019 a 04/2022;Carlos Eduardo Sanches da Silva;IEPG;;
806;Otimização das condições de usinagem em aços ligas especiais ;;mar/19;fev/23;Vigente;CNPq;; 110.400,00 ;;;;03/2019 a 02/2023;João Roberto Ferreira;IEM;;
807;Meninas Empreendedoras na Química ;;mar/19;jun/20;Vigente;CNPq ;; 11.600,00 ;;;;03/2019 a 06/2020;Geise Ribeiro ;IFQ;;
808;Articulações entre as áreas da educação ambiental e da educação em ciências:  significados produzidos por pesquisadores em teses e dissertações do campo da educação ambiental;;ago/19;jul/21;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2021;Luciano Fernandes Silva;IFQ;;7,13
809;Uma busca por efeitos fenomenológicos de gravitação quântica em meios não lineares ;;set/19;jul/21;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2021;Eduardo Henrique Silva Bittencourt ;IFQ;;8,88
810;Investigações em teorias de gravitação: abordagens perturbativas, exatas e computacionais com aplicação de Machine Learning;;ago/19;jul/21;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2021;Alan Bendasoli Pavan ;IFQ;;8,63
811;Concepção e construção de concentradores ópticos para células solares;;ago/19;ago/20;Vigente;sem financiamento externo;;;;;;08/2019 a 08/2020;Adhimar Flávio Oliveira;IFQ;;8,38
812;Síntese, caracterização e avaliação da atividade antibacteriana de pirazóis carboxilados ;;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Maurício Silva dos Santos ;IFQ;;7,75
813;Avaliação de middlewares para padronização de dados de dispositivos de internet das coisas;;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Edvard Martins de Oliveira;IESTI;;7,63
814;Criação de plataforma de simulação e controle para sistemas aeronáuticos ;;jul/19;jun/21;Vigente;sem financiamento externo;;;;;;08/2019 a 06/2021;Yohan Alí Díaz Méndez ;IEM;;6,38
815;Desenvolvimento e avaliação de uma metodologia de envelhecimento de polímeros em redes compactadas;;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Estácio Tavares Wanderley Neto;IEM;;8,88
816;Aplicação de água de reúso na argamassa auto adensável;;ago/19;ago/20;Vigente;sem financiamento externo;;;;;;08/2019 a 08/2020;Marcia Viana Lisboa;IRN;Aprovado no edital 001/2019;9,50
817;Ampliação da área de enraizamento de hibiscus rosa-cinensis l. para estabilização de solos instáveis;;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Hisaias de Souza Almeida;IRN;Aprovado no edital 001/2019;9,63
818;Análise da eficiência energética na secagem de rejeitos de morango ;;ago/19;jul/20;Vigente (suspenso);sem financiamento externo;;;;;;08/2019 a 07/2020;Maisa Tonon Bitti Perazzini;IRN;Aprovado no edital 001/2019 - suspenso de 11/09/2019 A 08/03/2020- LICENÇA MATERNIDADE DA COORDENADORA;6,38
819;Máquinas e sistemas ancestrais em engenharia ;;jul/19;ago/21;Vigente;sem financiamento externo;;;;;;07/2019 a 08/2021;Adinele Gomes Guimarães ;IRN;Aprovado no edital 001/2019;9,00
820;Variabilidade da produtividade no canteiro de obras: possíveis métodos de inclusão e mensuração no planehamento;;jul/19;jul/20;Vigente;sem financiamento externo;;;;;;07/2019 a 07/2020;André Luiz Vivan;IRN;Aprovado no edital 001/2019;8,25
821;Estudo numérico de fluidização gás-sólido por programas de código aberto;;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Maximilian Joachim Hodapp;IRN;Aprovado no edital 001/2019;9,25
822;"Produção de microestruturas de equilíbrio e recobrimento com alta resistência à oxidação em ligas dos sistemas Mr-Si-B (Mr= Nb, Mo ou Ta), utilizando o processo HAPC ""Halide Activated Pack Cementation""";;ago/19;jul/20;Vigente;sem financiamento externo;;;;;;08/2019 a 07/2020;Geovani Rodrigues;IRN;Aprovado no edital 001/2019;7,25
823;Estudo da absorção acústica de barreiras de concreto contendo resíduso de borracha  e vermiculita;;fev/19;jan/21;Vigente; FAPESP  ;; 49.798,50 ;;;;02/2019 a 01/2021;Rosa Cristina Cecche Lintz;IRN;;10
824;Teoria dos jogos algorítmica: votação ponderada;;ago/19;jul/20;Vigente; sem financiamento externo ;;;;;;08/2019 a 07/2020;Pedro Henrique Del Bianco Hokama;IMC;Aprovado no edital 001/2019;8,63
825;Café na nuvem: computação em nuvem aplicada à pesquisa cefeeira em Minas Gerais;;ago/19;ago/21;Vigente; sem financiamento externo ;;;;;;08/2019 a 08/2021;Vanessa Cristina Oliveira de Souza;IMC;Aprovado no edital 001/2019;9,00
826;Aprendizado de máquina fuzzy: potenciais contribuições da teoria fuzzy na concepção de técnicas de aprendizado de máquina;;jul/19;jul/21; Vigente ; sem financiamento externo ;;;;;;07/2019 a 07/2021;Isabela Neves Drummond;IMC;Aprovado no edital 001/2019;7,88
827;Variedade Lorentzianas com Simetria Espacial Intrínseca ;;ago/19;jul/21;vigente; sem financiamento externo ;;;;;;08/2019 a 07/2021;Leandro Gustavo Gomes;IMC;Aprovado no edital 001/2019;8,50
828;ANÁLISE TERMO-AMBIENTAL DE USINAS TERMELÉTRICAS DE CICLO COMBINADO DE ALTA EFICIÊNCIA A PARTIR DO USO DE GÁS NATURAL LIQUEFEITO IMPORTADO VISANDO A SEGURANÇA ENERGÉTICA;;ago/19;jul/21;Vigente; sem financiamento externo ;;;;;;08/2019 a 07/2021;Rogério José da Silva;IEM;Aprovado no edital 001/2019;7,50
829;Produção de etanol de segunda geração a partir de bagaço de cana-de-açúcar utilizando a enzima xilose isomerase (XI) imobilizada em nanopartículas magnéticas;;ago/19;jul/21; Vigente ; sem financiamento externo ;;;;;;08/2019 a 07/2021;Thaís Suzane Milessi Esteves;IRN;Aprovado no edital 001/2019;9,75
830;Taxonomia e bionomia de imaturos de besouros elateroidea de remanescentes florestais de Campos do Jordão -SP;;ago/19;jul/21;Vigente; sem financiamento externo ;;;;;;08/2019 a 07/2021;Simone Policena Rosa ;IRN;Aprovado no edital 001/2019;8,00
831;Desenvolvimento de interfaces gráficas automatizadas para o auxílio no projeto de reatores e biorreatores ;;ago/19;ago/20;Vigente; sem financiamento externo ;;;;;;08/2019 a 08/2020;Guilherme Youssef Rodriguez;IRN;Aprovado no edital 001/2019;8,75
832;Desenvolvimento e análise experimental do controle por faixas em sistemas com falhas em atuadores;;ago/19;ago/20;Vigente; sem financiamento externo ;;;;;;08/20119 a 08/2020;Thiago Vaz da Costa;IRN;Aprovado no edital 001/2019;8,38
833;PET- Programa de educação tutorial conexões de saberes: formação de professores em ciências exatas;;mar/13;Sem data de expiração ;Vigente;CAPES- FNDE;; 9.600,00 ;;;;03/2015 a atualmente ;Agenor Pina da Silva;IFQ;;
834;Model-based global assessment of hydrological pressure: globalhydropressure (análise da pressão hidrológica com base em modelos globais);;mar/19;mar/21;Vigente;FAPEMIG;; 368.696,24 ;;;;03/2019 a 03/2021;Michelle Simões Reboita;IRN;Aprovado no edital 001/2019;
835;Determinação da Acurácia de Mapeamento Digital de Solos;;set/19;ago/20;Vigente;sem financiamento externo;;;;;;09/2019 a 09/2020;Nívea Adriana Dias Pons;IRN;Aprovado no edital 001/2019;7,63
836;Desenvolvimento de catalisadores para obtenção de biosiesel etílico proveniente de rejeitos da indústria de alimentos;;jul/19;jul/20;Vigente;FAPEMIG;; 37.275,00 ;;;;20/07/2019 a 20/07/2020;Karina Arruda almeida;IRN;;10
837;Difusão ansiotrópica e inpainting híbrido aplicado na restauração de sombras de imagens multiespectrais de satélite;;set/19;set/20;Vigente;sem financiamento externo;;;;;;09/2019 a 09/2020;Samara Calçado de Azevedo;IRN;Aprovado no edital 001/2019;9,00
838;Programa de Educação Tutorial - PET Engenharia Mecânica;;set/19;mai/24;Vigente;MEC/ FNDE;;;1;;12;09/2019 a 05/2024;Sebastião Simões da Cunha JR;IEM;;
839;Validação experimental de modelo otimizado de turbina axial de ultra baixa queda ;;mar/18;mar/20;Vigente;FAPEMIG;;;;;;03/2018 a 03/2020;Ramiro Gustavo Ramirez Camacho;IEM;;
