Número de registro na DPI ;Título do Projeto;Data de Registro;Início da vigência;Témino da vigência;Status;Órgão Financiador; Recursos Internos ; Recursos Externos ;Bolsa Pesquisa;Mestrado/Doutorado;IC;Participação     Inicio e fim;Coordenador;Instituto Vinculado;Observações;Nota de mérito (projetos sem financiamento externo)
672;Concreto Alto Adensável: Método de Dosagem, sem ou com adição de resíduos e caracterização de propriedades;30/01/2018;mar/18;fev/20;Vigente;sem financiamento externo;;;;;;03/18 a 02/20;Paulo César Gonçalves;IRN;; 8,93 
673;CONCRETO DE ALTO ESEMPENHO  COM ALTOS TEORES DE BORRACHA DE PNEU;09/02/2018;fev/18;fev/20;Vigente;sem financiamento externo;;;;;;02/18 a 02/20;Mirian de Lourdes Noronha Motta Melo;IEM;; 9,24 
674;Desenvolvimento de cerâmicas termoelétricas do tipo-n e do tipo-p;29/01/2018;jan/18;dez/19;Vigente;sem financiamento externo;;;;;;01/18 a 12/19;Daniel Thomazini;IEM;; 8,99 
676;ENSINO DE CIÊNCIA INCLUSIVO NA FORMAÇÃO DE PROFESSORES;13/03/2018;mar/18;mar/20;Vigente;sem financiamento externo;;;;;;03/18 a 03/20;Paloma Alinne Alves Rodrigues Ruas;IFQ;; 8,43 
677;Estudo das propriedades elétricas e de fotocondução em filmes baseados em compostos de Bi2Te3 e Pb1-xSnxTe;13/03/2018;mar/18;mar/20;Vigente;sem financiamento externo;;;;;;03/18 a 03/20;Marcelo Lima Peres;IFQ;; 9,71 
678;ESTUDOS DE AGLOMERADOS ABERTOS UTILIZANDO DADOS DO GAIA;13/03/2018;mar/18;mar/20;Vigente;sem financiamento externo;;;;;;03/18 a 03/20;Wilton da Silva Dias;IFQ;; 10,00 
680;FILTRO ATIVO DE POTÊNCIA PARA COMPENSAÇÃO DISTRIBUÍDA;;fev/18;fev/20;Vigente;sem financiamento externo;;;;;;02/2018 a 02/2020;Rondineli Rodrigues Pereira;IESTI;; 8,30 
682;MODELAGEM E SIMULAÇÃO NUMÉRICA DO MOVIMENTO DE PARTÍCULAS UTILIZANDO UMA DESCRIÇÃO PURAMENTE LAGRANGEANA: APLICAÇÃO EM ESCOAMENTOS BIFÁSICOS;22/02/2018;mar/18;mar/20;Vigente;sem financiamento externo;;;;;;03/18 a 03/20;Luiz Antonio Alcântara Pereira;IEM;; 9,04 
685;Modelamento de um Motor de Indução com Rotor de Gaiola com Mancal Magnético na Configuração Halbach;23/01/2018;01/03/2018;fev/21;Vigente;sem financiamento externo;;;;;;03/18 a 02/21;Ricardo Elias Caetano;ISEE;Em 30/10/2018 a vigência foi prorrogada para 02/2021; 8,77 
686;NARRATIVAS DIGITAIS E PESQUISA: possibilidades metodológicas para investigações qualitativas;06/02/2018;mar/18;dez/20;Vigente;FAPEMIG;;;;;;03/18 a 12/20;Alessandra Rodrigues;IFQ;Projeto alterado para com financiamento externo considerando a aprovação do projeto do Edital de Demanda Universal FAPEMIG (Processo APQ-00239-18) [nota anterior 8.22];
