Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PIDI527-2023,18/08/2023,18/12/2026,Quantificando letalidade e comportamento de peixes expostos a supersaturação gasosa em rios sob influência de usinas hidrelétricas,Projeto com financiamento externo,Companhia Energética SINOP,CARLOS BARREIRA MARTINEZ,IEM,Vigente
PVDI525-2024,01/03/2024,31/07/2027,Método para Seleção de Variáveis Críticas no Monitoramento de Gêmeos Digitais usando Lean Six Sigma,Projeto com financiamento externo,CNPq,RAFAEL DE CARVALHO MIRANDA,IEPG,Vigente
PVDI477-2024,01/06/2024,31/05/2027,CATÁLOGO DE AGLOMERADOS ABERTOS NA ERA GAIA,Projeto sem financiamento externo,Não possui,WILTON DA SILVA DIAS,IFQ,Vigente
PVDI474-2024,01/06/2024,31/05/2027,"EXPLORANDO ASPECTOS DE INTEGRABILIDADE, DUALIDADES, E DEFORMACÕES EM TEORIAS DE CAMPOS",Projeto sem financiamento externo,Não possui,ALEXIS ROA AGUIRRE,IFQ,Vigente
PIDI469-2024,01/06/2024,31/05/2027,Estruturas de índices para armazenamento massivo de grandes volumes de dados,Projeto sem financiamento externo,Não possui,LUIZ OLMES CARVALHO,IMC,Vigente
PVDI481-2024,01/06/2024,31/05/2027,Análise do Impacto do Aumento da Inserção de Fontes Renováveis Intermitentes no Planejamento da Operação do Sistema Elétrico Brasileiro,Projeto sem financiamento externo,Não possui,FABRICIO SILVEIRA CHAVES,ISEE,Vigente
PVDI528-2020,01/03/2024,28/02/2027,Avaliação de Risco e Viabilidade Econômica em projetos de geração de energia renovável e de fontes híbridas no Brasil,Projeto com financiamento externo,CNPq,EDSON DE OLIVEIRA PAMPLONA,IEPG,Vigente
PVDI529-2024,17/06/2024,17/06/2027,DESENVOLVIMENTO DE ESTRUTURAS INTELIGENTES POR MEIO DE MANUFATURA ADITIVA E IMPRESSÃO 4D,Projeto com financiamento externo,FAPEMIG,GUILHERME FERREIRA GOMES,IEM,Vigente
PDIP01-2023,10/01/2023,10/01/2026,"Uai, me conta!",Projeto com financiamento externo,FAPEMIG,JANE RAQUEL SILVA DE OLIVEIRA,IFQ,Vigente
PVDI531-2023,24/01/2023,31/01/2027,Estudos de atribuição das mudanças climáticas e geração de cenários e de indicadores de impacto em suporte à planejamentos de medidas de adaptação regional e local,"Projeto com financiamento externo, de outra instituição",CNPq,BENEDITO CLAUDIO DA SILVA,IRN,Vigente
